id,geom
building_519882,POINT(4.664370630858142 49.83076392705896)
building_521546,POINT(4.828858948583773 49.84763363557108)
building_531116,POINT(4.715089989892167 49.8696760146766)
building_535734,POINT(4.726704895497178 50.03707987179077)
building_538809,POINT(4.52399741713536 49.851437485322364)
building_546206,POINT(4.799841773703863 49.72445524380359)
building_550637,POINT(4.641225421377108 49.91606845696033)
building_551199,POINT(4.31392500429636 49.70330700040453)
building_553295,POINT(4.780170754156246 49.86296182038811)
building_553821,POINT(4.742510866982285 49.516746414187104)
building_554178,POINT(4.861440379107545 49.55713888787877)
building_642237,POINT(4.754182704149404 49.65600390038526)
building_647939,POINT(4.725235304187016 50.03614635039301)
building_649460,POINT(4.755718004149236 49.66047200038529)
building_660161,POINT(4.636666004194061 49.74439200039185)
building_660494,POINT(4.744628904170359 49.89761190039013)
building_663775,POINT(4.577546709999709 49.53806682095196)
building_664927,POINT(4.696030918466739 49.82868375753381)
building_666526,POINT(5.288574256194483 49.67031064542948)
building_735462,POINT(4.721603176306637 50.04777522035493)
building_736990,POINT(4.704098204171617 49.73711750038893)
building_741745,POINT(4.781664399664028 50.11317000304374)
building_744189,POINT(4.934786882359198 49.75550766124953)
building_746482,POINT(4.70990535671071 49.73782806823885)
building_748416,POINT(4.793876581949357 50.12837705594691)
building_749600,POINT(4.710562077810241 49.737556941034114)
building_751812,POINT(4.731777204173825 49.888076100390506)
building_758172,POINT(4.75865560414891 49.66898260038534)
building_760709,POINT(4.986808329531186 49.32872185334321)
building_834777,POINT(4.72038318095544 50.048920479798944)
building_841855,POINT(4.78072300075315 50.12923425411342)
building_846429,POINT(4.720160038399097 50.049748992039994)
building_854320,POINT(4.49788323164079 49.53783774924327)
building_913970,POINT(4.991229200292945 49.27590536747443)
building_914092,POINT(4.669059260496836 49.5076036992008)
building_914311,POINT(4.780210961237238 50.11108493241862)
building_919293,POINT(4.575366679220201 49.827201550395905)
building_919570,POINT(4.269568004322864 49.86007500040931)
building_926243,POINT(4.410668040315702 49.90371386611609)
building_933034,POINT(4.828970787443728 49.45211040454427)
building_935702,POINT(4.60162376611703 49.407804549761664)
building_996766,POINT(4.617008154903288 49.78806278391706)
building_998164,POINT(4.582284804216762 49.81140950039532)
building_1008185,POINT(4.380000532651557 49.872585822241795)
building_1008869,POINT(4.357085904296887 49.89659350040624)
building_1010363,POINT(4.38026391172935 49.87288967888025)
building_1014714,POINT(4.828441793634435 49.45291838799669)
building_1014978,POINT(4.332280149286274 49.84051403177558)
building_1021036,POINT(4.791821079144392 49.753603475385674)
building_1079269,POINT(4.377637374404349 49.87482357213312)
building_1082528,POINT(4.566111404208272 49.62681500039236)
building_1086428,POINT(4.681410327523316 49.26982887691766)
building_1090579,POINT(4.351598613469763 49.79980028462495)
building_1101913,POINT(4.548328114237725 49.942796050398954)
building_1172775,POINT(4.321745741775309 49.63833604161394)
building_1173728,POINT(4.675913004195166 49.93046900039349)
building_1177067,POINT(4.964848872869808 49.68951517225733)
building_1178165,POINT(4.964576465060042 49.68966530589007)
building_1239947,POINT(4.380364105934637 49.872266383176225)
building_1241168,POINT(4.380448657354238 49.871903349867644)
building_1242732,POINT(4.42732170436433 49.83184521937022)
building_1258039,POINT(4.382071290218186 49.87278485585721)
building_1259812,POINT(4.70788950415669 49.55106690038487)
building_1261996,POINT(4.781419304156616 49.87344390038823)
building_1319345,POINT(4.784314653491456 49.87362965017106)
building_1326034,POINT(4.35550058673188 49.829014607816454)
building_1333337,POINT(4.37593673757044 49.87303591999973)
building_1415038,POINT(4.378878428105845 49.875634418200754)
building_1484431,POINT(4.962347013705379 49.69214604077001)
building_1981550,POINT(4.375711017945336 49.66811752149623)
building_1984507,POINT(4.746867247887149 49.28347991366159)
building_1984692,POINT(4.635719004205015 49.88713600039445)
building_1986397,POINT(4.740822404126512 49.282304800376686)
building_2003085,POINT(4.795785583379275 49.45949010132855)
building_2003498,POINT(4.645723454032181 49.490137460503924)
building_2003857,POINT(4.4271564404677 49.39875126305519)
building_2011732,POINT(4.983641589174274 49.49315380257314)
building_2082782,POINT(4.125855060505753 49.425154465278865)
building_2083348,POINT(4.58030937178127 49.43490925567205)
building_2087359,POINT(4.58413151372826 49.60753459983414)
building_2087864,POINT(4.957931494569645 49.69333953489912)
building_2087991,POINT(5.264024593978524 49.55733078036281)
building_2091961,POINT(4.662600657030626 49.58369060351571)
building_2092006,POINT(4.774838104174121 50.07962510039156)
building_2098406,POINT(4.663122804565711 49.49583613113468)
building_2099281,POINT(4.78913140414525 49.75341250038579)
building_2102829,POINT(4.959743268121296 49.692539861707296)
building_2103735,POINT(4.264435078448151 49.88135079358555)
building_2104219,POINT(4.959836794762578 49.69250761648487)
building_2107720,POINT(4.878181709525057 49.535390692685716)
building_2173756,POINT(4.286360828131971 49.92675325755257)
building_2177359,POINT(4.98290619455014 49.493138355628666)
building_2178241,POINT(4.532781625447721 49.6278774347502)
building_2182397,POINT(4.452803006682288 49.82406085356408)
building_2182934,POINT(4.637869404175191 49.49424020038638)
building_2185176,POINT(4.579120604189911 49.435392650387364)
building_2186728,POINT(4.639084824235968 49.494452687837594)
building_2192068,POINT(4.750295320579932 49.42184650896801)
