building_id,id,geom
4847022,building_4847022,POINT(-0.283982997601555 44.884669153867385)
4871391,building_4871391,POINT(-0.280637377429317 44.881389202283906)
5012916,building_5012916,POINT(-0.287222283903475 44.885450378616845)
5190305,building_5190305,POINT(-0.280628566747408 44.883072278062045)
5191046,building_5191046,POINT(-0.283018357997943 44.884114550198994)
5310193,building_5310193,POINT(-0.297845192581847 44.88680102182039)
5312662,building_5312662,POINT(-0.297324034768805 44.887140894357564)
5314060,building_5314060,POINT(-0.29709059451899 44.88734890028566)
5742479,building_5742479,POINT(-0.305295529326427 44.86532733360267)
5744189,building_5744189,POINT(-0.305576600395576 44.86482440079596)
5755430,building_5755430,POINT(-0.303670694518556 44.86508890028324)
12470622,building_12470622,POINT(-0.25543472665651 44.91253614418454)
12471263,building_12471263,POINT(-0.255736994531509 44.91229100028664)
12473629,building_12473629,POINT(-0.254139811233914 44.916192180273775)
12793001,building_12793001,POINT(-0.25601736643953 44.9115980224904)
12793463,building_12793463,POINT(-0.255819194531523 44.91178300028656)
12801096,building_12801096,POINT(-0.251466664543824 44.911768317190855)
12804773,building_12804773,POINT(-0.253440751003114 44.91134010935407)
12822141,building_12822141,POINT(-0.252630423402417 44.911064487439)
13087646,building_13087646,POINT(-0.2688289945292 44.88499000028389)
13417174,building_13417174,POINT(-0.277727473265019 44.893702489793206)
13430249,building_13430249,POINT(-0.282539794652942 44.88565114403968)
13434076,building_13434076,POINT(-0.280082097178137 44.889720377911374)
16017533,building_16017533,POINT(-0.265121652860326 44.88858564820787)
22407054,building_22407054,POINT(-0.282445477088617 44.88433423780878)
22407056,building_22407056,POINT(-0.283899994524069 44.88258070028437)
22407058,building_22407058,POINT(-0.285699541506874 44.885190050227926)
22407062,building_22407062,POINT(-0.28900429452221 44.88318040028475)
22407077,building_22407077,POINT(-0.283639624052152 44.8844116748181)
22407080,building_22407080,POINT(-0.291732594521377 44.88160070028469)
22407083,building_22407083,POINT(-0.281243028620218 44.883211785252605)
22407111,building_22407111,POINT(-0.256443989431001 44.91168703978753)
