building_id,id,geom
7089368,building_7089368,POINT(-0.499814104722242 44.77034715646261)
7226666,building_7226666,POINT(-0.499934093689065 44.77010071085991)
7228147,building_7228147,POINT(-0.499160694457275 44.769863000281546)
7269257,building_7269257,POINT(-0.50856299445416 44.7671540002817)
7425550,building_7425550,POINT(-0.493006602625223 44.77549702488683)
7664645,building_7664645,POINT(-0.492536885180031 44.772085451220825)
7710270,building_7710270,POINT(-0.485523994461982 44.77159100028105)
7771198,building_7771198,POINT(-0.47443680167181 44.773211280219584)
8281569,building_8281569,POINT(-0.446230894476331 44.76728000027838)
8896379,building_8896379,POINT(-0.477242630461308 44.76535958638366)
8908419,building_8908419,POINT(-0.472047191527556 44.76405288757403)
8939097,building_8939097,POINT(-0.467984994468965 44.76296600027897)
9072020,building_9072020,POINT(-0.479926994464595 44.76435870027981)
9079035,building_9079035,POINT(-0.482834132389463 44.76462170638806)
9082735,building_9082735,POINT(-0.484520182278619 44.76494685124768)
9123454,building_9123454,POINT(-0.49324704450617 44.764991394414906)
9149376,building_9149376,POINT(-0.485058494462707 44.76509320028016)
9149899,building_9149899,POINT(-0.485219994462583 44.765851000280264)
9151242,building_9151242,POINT(-0.487750194461577 44.76707890028056)
9151320,building_9151320,POINT(-0.48856970616187 44.766665551815365)
9151611,building_9151611,POINT(-0.482035406678356 44.76690695324582)
9152510,building_9152510,POINT(-0.485537994462446 44.76613600028033)
9156769,building_9156769,POINT(-0.503574494456135 44.76483390028115)
19736329,building_19736329,POINT(-0.500771434456692 44.769969940281634)
19736733,building_19736733,POINT(-0.4426968409096 44.76663339311461)
19737059,building_19737059,POINT(-0.482783694463433 44.76605140028015)
22409893,building_22409893,POINT(-0.486713894461939 44.767153900280526)
23840974,building_23840974,POINT(-0.481438894822903 44.76582920580066)
26061370,building_26061370,POINT(-0.488457091278393 44.76902405556237)
26061371,building_26061371,POINT(-0.483969994463115 44.7648300002801)
28780609,building_28780609,POINT(-0.490078859074144 44.77169600609701)
28780611,building_28780611,POINT(-0.491014406968809 44.77216202745552)
28780619,building_28780619,POINT(-0.459824081527158 44.75460073424194)
28780626,building_28780626,POINT(-0.488330994461509 44.765475200280406)
