building_id,id,geom
692822,building_692822,POINT(-0.84613379427987 45.37619260037469)
696277,building_696277,POINT(-0.846191943631273 45.37601281355097)
1528997,building_1528997,POINT(-0.882246094267092 45.372484600376296)
1683164,building_1683164,POINT(-0.894993825284356 45.369463909632444)
3332018,building_3332018,POINT(-0.893511079870737 45.357744423623)
3521663,building_3521663,POINT(-0.896296294263783 45.35213520037471)
3648573,building_3648573,POINT(-0.89352740606702 45.35637176999023)
3664905,building_3664905,POINT(-0.893699718199889 45.35668858922139)
3667995,building_3667995,POINT(-0.894371210968733 45.35617632303337)
3681414,building_3681414,POINT(-0.8950407942638 45.35711040037524)
3684067,building_3684067,POINT(-0.892910794264552 45.35736160037515)
3687387,building_3687387,POINT(-0.893053985987579 45.356912385232896)
3689545,building_3689545,POINT(-0.89266799426465 45.35724200037513)
4115541,building_4115541,POINT(-0.884142294267711 45.35764350037469)
4131888,building_4131888,POINT(-0.877428025787905 45.35600059945745)
4134601,building_4134601,POINT(-0.891608409591114 45.35653365424348)
4138222,building_4138222,POINT(-0.892518796568922 45.35824425491742)
4574820,building_4574820,POINT(-0.935401394248548 45.363765100378295)
21285237,building_21285237,POINT(-0.879559718483565 45.37558957529348)
25448763,building_25448763,POINT(-0.892805324202312 45.35681019376803)
28250347,building_28250347,POINT(-0.846576494279685 45.37646870037474)
56961145,building_56961145,POINT(-0.882270259474157 45.355434419625546)
58015949,building_58015949,POINT(-0.893003994265112 45.350616000374345)
78402419,building_78402419,POINT(-0.896021422785186 45.35621133589355)
78402423,building_78402423,POINT(-0.93787629424662 45.375408900379774)
78402427,building_78402427,POINT(-0.901598855142728 45.364938872820076)
550584,building_550584,POINT(-0.863796539742073 45.38598936106043)
722960,building_722960,POINT(-0.859120994274929 45.37880180037571)
1481304,building_1481304,POINT(-0.882960794266576 45.37540450037669)
1599664,building_1599664,POINT(-0.890860494264879 45.36209910037557)
1943879,building_1943879,POINT(-0.867156768270404 45.37314529948006)
1946718,building_1946718,POINT(-0.866505994272659 45.3741500003756)
2095435,building_2095435,POINT(-0.863811394273745 45.372920600375295)
2097070,building_2097070,POINT(-0.86411310079816 45.3730894856655)
2107411,building_2107411,POINT(-0.865474042410034 45.373799061602874)
2116100,building_2116100,POINT(-0.865911329364344 45.37380698156442)
2122043,building_2122043,POINT(-0.864643107468357 45.373637491237005)
2277399,building_2277399,POINT(-0.84563779428009 45.3757318003746)
3707785,building_3707785,POINT(-0.892787032102748 45.357501805524436)
3721063,building_3721063,POINT(-0.892915394264473 45.35824640037525)
4010019,building_4010019,POINT(-0.872509156753213 45.35081131278442)
4448954,building_4448954,POINT(-0.911405094257859 45.357090000376154)
4754444,building_4754444,POINT(-0.934874694248726 45.36391750037831)
5196901,building_5196901,POINT(-0.936258041051203 45.37635009649573)
27288654,building_27288654,POINT(-0.868487894273396 45.35759630037377)
27288835,building_27288835,POINT(-0.902153094259876 45.372340900377395)
50536422,building_50536422,POINT(-0.893033308807895 45.3561115595792)
57471088,building_57471088,POINT(-0.891736694264183 45.36639700037613)
78818391,building_78818391,POINT(-0.892273994264646 45.358908000375266)
1346109,building_1346109,POINT(-0.877741832537005 45.37488321744576)
1496368,building_1496368,POINT(-0.879303894267881 45.37566210037651)
1509872,building_1509872,POINT(-0.87887626093472 45.37547001704311)
1514896,building_1514896,POINT(-0.879734894267725 45.375659100376524)
1750203,building_1750203,POINT(-0.878363896955491 45.3747863955167)
1761943,building_1761943,POINT(-0.88296289426657 45.37545080037668)
2000494,building_2000494,POINT(-0.86231309427422 45.373692200375324)
2309739,building_2309739,POINT(-0.851970194277802 45.37562247537494)
3453656,building_3453656,POINT(-0.907356394259165 45.358956900376135)
3751086,building_3751086,POINT(-0.888950478670334 45.357287597327684)
4541795,building_4541795,POINT(-0.935385694248493 45.364462700378375)
4959134,building_4959134,POINT(-0.905987480231802 45.37493741157222)
23300575,building_23300575,POINT(-0.893003640891779 45.356741920105016)
23300580,building_23300580,POINT(-0.872417894272639 45.349995900373116)
24740485,building_24740485,POINT(-0.871818577059912 45.34948294851466)
26059224,building_26059224,POINT(-0.890930812152802 45.36096880925074)
26059226,building_26059226,POINT(-0.892666994264666 45.35707350037508)
26059227,building_26059227,POINT(-0.876527718582974 45.3559651959473)
28287950,building_28287950,POINT(-0.8635307796548 45.37401054944526)
47795239,building_47795239,POINT(-0.873521794269654 45.379369300376595)
47795246,building_47795246,POINT(-0.889281394265 45.36722480037606)
47795247,building_47795247,POINT(-0.888966094265126 45.367111000376056)
47795281,building_47795281,POINT(-0.923404694253052 45.36214260037741)
54377525,building_54377525,POINT(-0.864910603230405 45.38634540645863)
