building_id,id,geom
7627292,building_7627292,POINT(-0.454892913542386 44.36976911021144)
7711722,building_7711722,POINT(-0.463832494504264 44.368920100226596)
7771634,building_7771634,POINT(-0.461897994504888 44.36964500022655)
8626951,building_8626951,POINT(-0.463005994506498 44.34629300022344)
7189061,building_7189061,POINT(-0.492543994494499 44.364191000227414)
7295306,building_7295306,POINT(-0.510100584499104 44.361124266521955)
7344599,building_7344599,POINT(-0.507196753976729 44.36057484996858)
7610874,building_7610874,POINT(-0.45412728066319 44.3697179556705)
7658873,building_7658873,POINT(-0.462567377631034 44.37080819105369)
7903752,building_7903752,POINT(-0.451264994509777 44.356526000224214)
8713465,building_8713465,POINT(-0.488766144496844 44.35247190022562)
28392300,building_28392300,POINT(-0.481477994497609 44.37364300022816)
54379468,building_54379468,POINT(-0.449331827402414 44.35589396149211)
7073729,building_7073729,POINT(-0.480754178534764 44.372055273033986)
7281731,building_7281731,POINT(-0.516945261152593 44.36327418356193)
8022002,building_8022002,POINT(-0.461790775372894 44.36878920558023)
8404162,building_8404162,POINT(-0.482019922401471 44.349822324778735)
