building_id,id,geom
1002617,building_1002617,POINT(-0.394347449043724 44.67578818519886)
1009382,building_1009382,POINT(-0.39448379450255 44.675721000263856)
1530818,building_1530818,POINT(-0.395801301320891 44.67473595527627)
23299547,building_23299547,POINT(-0.396302494501895 44.67583260026398)
23299549,building_23299549,POINT(-0.397080252313952 44.673912210240275)
49930343,building_49930343,POINT(-0.400365894501031 44.66909970026329)
538977,building_538977,POINT(-0.389058094504961 44.670032800262845)
555919,building_555919,POINT(-0.401759236583881 44.67915465664178)
1028028,building_1028028,POINT(-0.397829294501368 44.67567290026402)
1191668,building_1191668,POINT(-0.394783553396412 44.67508495993059)
1599186,building_1599186,POINT(-0.400533394500319 44.676711700264285)
1970621,building_1970621,POINT(-0.405231845561405 44.6751276223228)
16513146,building_16513146,POINT(-0.399935994500519 44.676857000264235)
28777807,building_28777807,POINT(-0.401456638071804 44.677289366734634)
28777810,building_28777810,POINT(-0.400110515407354 44.67639225408247)
28777815,building_28777815,POINT(-0.39362707210696 44.676199149187774)
47793434,building_47793434,POINT(-0.398675114655883 44.673124909087115)
55073766,building_55073766,POINT(-0.402706901805627 44.67794260361246)
56960051,building_56960051,POINT(-0.39630809450205 44.67400740026372)
56960052,building_56960052,POINT(-0.39630809450205 44.67400740026372)
1223279,building_1223279,POINT(-0.394442220017395 44.67485920493434)
1507901,building_1507901,POINT(-0.397661694501485 44.67499350026392)
1527047,building_1527047,POINT(-0.389012854544196 44.67178800191169)
2000485,building_2000485,POINT(-0.403976629793107 44.6779808649705)
2759490,building_2759490,POINT(-0.402680951814128 44.668766040711176)
3295732,building_3295732,POINT(-0.412711194497035 44.66464050026335)
27287209,building_27287209,POINT(-0.396338738237308 44.67586052974719)
27287211,building_27287211,POINT(-0.397944448682897 44.674226147661834)
27287213,building_27287213,POINT(-0.404696994499412 44.67007060026364)
55201647,building_55201647,POINT(-0.403248246482363 44.67813558621806)
78401564,building_78401564,POINT(-0.40280599449923 44.68004100026485)
78401567,building_78401567,POINT(-0.395827194502188 44.67438680026373)
78401608,building_78401608,POINT(-0.405529196441227 44.66970160352838)
78401609,building_78401609,POINT(-0.396875885651113 44.67334460262455)
