id,geom
building_518589,POINT(4.05317414789327 48.05803307176518)
building_519896,POINT(4.286479004199216 48.25720600035636)
building_521384,POINT(4.438116104161712 48.41448590035746)
building_527109,POINT(3.968158665292042 48.42461208193543)
building_538551,POINT(4.78681624403294 48.16130552033153)
building_543738,POINT(3.970405335434693 48.49682955955075)
building_548629,POINT(4.049250555653072 48.621806048952244)
building_549650,POINT(3.803436839752727 48.2747388700598)
building_550758,POINT(4.788795947685945 48.16341361253753)
building_555941,POINT(4.354400729190962 48.44766090036237)
building_638704,POINT(4.785882296614939 48.14517590288681)
building_641665,POINT(3.968974853399326 48.4222715930843)
building_647857,POINT(4.691137507865216 48.403608312237864)
building_649953,POINT(4.786405639263411 48.147182820373516)
building_655433,POINT(4.790016807855939 48.164798247081684)
building_659272,POINT(4.040849010579019 48.34346359274982)
building_662921,POINT(3.595386504441711 48.50042070039705)
building_664497,POINT(4.041351242284382 48.34298137135102)
building_667246,POINT(4.360234089312187 48.445774859967756)
building_668530,POINT(4.162842204232184 48.161752100356836)
building_670020,POINT(4.63628239639857 48.307895454190714)
building_736263,POINT(4.057568904300446 48.63391760038274)
building_737766,POINT(4.384154120822115 48.081201433676945)
building_739394,POINT(4.062461604298874 48.63418120038254)
building_747196,POINT(4.29971196606462 48.14473553704355)
building_747645,POINT(3.959018154323878 48.51617570038196)
building_749676,POINT(3.966933748955141 48.42167141330757)
building_752083,POINT(4.0549288043003 48.6202346003823)
building_760203,POINT(3.490530004482719 48.585880000405396)
building_764109,POINT(4.137554004248155 48.270726800363214)
building_827700,POINT(4.018729557888035 48.12988995563171)
building_828414,POINT(4.787767704029554 48.11637090032926)
building_829354,POINT(4.198343977919438 47.985950546870576)
building_832503,POINT(4.136581004264713 48.495618000373554)
building_835913,POINT(4.0085520042909 48.28482100036933)
building_837139,POINT(4.302075150708528 48.14139084545099)
building_841864,POINT(4.005036297952008 48.28849824365387)
building_841975,POINT(4.199896486088709 47.98639421189923)
building_845059,POINT(3.969080913523773 48.575430297013256)
building_845079,POINT(4.00455942758853 48.288307107676175)
building_845159,POINT(3.968726408662492 48.57491932192308)
building_851586,POINT(4.004562004292468 48.288625000369684)
building_920099,POINT(4.786979204031812 48.145647800330735)
building_926606,POINT(4.756665592285239 48.26943763563204)
building_932627,POINT(4.053762502881034 48.19711646425203)
