"building_id","building_point_wkt"
713,POINT(2.348638604888666 48.861027800469934)
714,POINT(2.348058004888894 48.86136500046994)
717,POINT(2.348999004888592 48.86161340046991)
718,POINT(2.349087604888575 48.861789600469926)
721,POINT(2.349734504888477 48.86330220046991)
730,POINT(2.348867104888697 48.86234940046995)
733,POINT(2.347815404888718 48.85821340046982)
737,POINT(2.348993304888487 48.86032540046986)
740,POINT(2.349312004888466 48.861406600469905)
747,POINT(2.349651104888401 48.8620255004699)
749,POINT(2.349560704888462 48.862395400469914)
752,POINT(2.35023520488832 48.86346330046991)
753,POINT(2.334831304893752 48.86530320047073)
754,POINT(2.334682904893831 48.865648400470775)
756,POINT(2.335231904893663 48.86590310047074)
760,POINT(2.335739575865065 48.86696864751495)
761,POINT(2.335111204893647 48.865201600470755)
762,POINT(2.335406104893601 48.86588340047075)
765,POINT(2.335799604893531 48.86667820047074)
769,POINT(2.347152204889088 48.85997110046992)
771,POINT(2.345457004889978 48.86371980047016)
772,POINT(2.324106004897579 48.86713270047135)
774,POINT(2.324357004897522 48.86747130047136)
776,POINT(2.32458250489747 48.86778100047135)
780,POINT(2.345081804889653 48.85819240046997)
782,POINT(2.344466904889883 48.85843180047001)
784,POINT(2.343858904890106 48.85860910047006)
792,POINT(2.345144004889855 48.86089910047008)
794,POINT(2.344454104890104 48.861075700470096)
797,POINT(2.344263404890173 48.86109850047013)
800,POINT(2.343433604890467 48.861222200470166)
801,POINT(2.343335404890503 48.86123700047019)
804,POINT(2.343008904890619 48.86130490047018)
809,POINT(2.340662704891462 48.861753400470334)
812,POINT(2.334999004893535 48.86335360047068)
814,POINT(2.334660204893665 48.86352150047068)
816,POINT(2.333725404894023 48.86399100047076)
817,POINT(2.333567004894082 48.864066800470745)
818,POINT(2.333403404894145 48.86413950047078)
820,POINT(2.332229804894594 48.86469900047086)
824,POINT(2.331642004894817 48.86497620047089)
825,POINT(2.33150760489487 48.865049400470895)
828,POINT(2.331133604895013 48.865230900470934)
830,POINT(2.330245204895355 48.865691900470964)
831,POINT(2.329982004895458 48.865826000471)
833,POINT(2.329454804895659 48.86607870047105)
834,POINT(2.329177604895766 48.866217500471095)
836,POINT(2.328764804895924 48.86642600047109)
839,POINT(2.327708304896321 48.866855600471155)
840,POINT(2.327131204896538 48.86708370047118)
842,POINT(2.326653804896714 48.86723140047122)
843,POINT(2.326433404896796 48.86729230047124)
844,POINT(2.326285098495608 48.867351988221905)
845,POINT(2.325688304897021 48.86693770047125)
857,POINT(2.342886904890672 48.86144110047019)
859,POINT(2.342632604890765 48.86150070047021)
862,POINT(2.341836004891048 48.861626200470255)
863,POINT(2.340811804891419 48.86187480047032)
866,POINT(2.340195504891642 48.86200850047037)
870,POINT(2.339459304891913 48.862227700470406)
877,POINT(2.334199604893863 48.864024400470726)
881,POINT(2.333529104894111 48.86423650047078)
882,POINT(2.333311904894194 48.86434280047082)
884,POINT(2.333159004894252 48.86441760047083)
885,POINT(2.33296450489433 48.864536100470836)
886,POINT(2.332993304894334 48.864737400470865)
893,POINT(2.3309669048951 48.86558650047096)
895,POINT(2.331767404894785 48.8650922004709)
896,POINT(2.330718804895188 48.86562440047096)
897,POINT(2.330474904895281 48.86574140047096)
898,POINT(2.330302204895352 48.865881900470974)
899,POINT(2.330015704895458 48.865981100471)
900,POINT(2.329852304895521 48.866067200471036)
902,POINT(2.329473804895668 48.866266100471066)
905,POINT(2.325607604897135 48.86800050047132)
906,POINT(2.325112704897293 48.867849200471326)
907,POINT(2.324905404897371 48.86791660047135)
909,POINT(2.326233404896888 48.867586100471236)
910,POINT(2.328334304896142 48.867285900471146)
912,POINT(2.332047042040473 48.8658751782671)
924,POINT(2.332667030901609 48.86612271711574)
930,POINT(2.332597904894555 48.86577910047086)
931,POINT(2.332869804894496 48.86617840047088)
933,POINT(2.331562004894779 48.86417160047088)
940,POINT(2.342444303812278 48.86196214028155)
944,POINT(2.347920504888698 48.858400700469836)
945,POINT(2.348194804888643 48.85889530046982)
946,POINT(2.3489279048885 48.860208900469864)
947,POINT(2.349222104888485 48.86123750046991)
950,POINT(2.350291804888266 48.863056300469914)
951,POINT(2.35055130488818 48.86309690046988)
953,POINT(2.334470304893944 48.86614210047082)
954,POINT(2.334393804893983 48.866319600470796)
956,POINT(2.336138204893347 48.86584570047072)
960,POINT(2.335318804893668 48.86634870047078)
964,POINT(2.347964004889119 48.863716000470035)
970,POINT(2.34288680489081 48.86311180047029)
982,POINT(2.337787804892558 48.863111400470515)
983,POINT(2.338031912509936 48.86335403337818)
984,POINT(2.338153308918558 48.86378934333102)
985,POINT(2.343035000041457 48.86143537660448)
986,POINT(2.343270704890563 48.8617156004702)
989,POINT(2.343410695047169 48.861748005396805)
993,POINT(2.328378604896142 48.86744950047115)
994,POINT(2.328880704896009 48.86794920047112)
998,POINT(2.329132704895833 48.8668489004711)
1000,POINT(2.329588604895666 48.86672420047107)
1002,POINT(2.330128704895517 48.86715180047106)
1003,POINT(2.330291304895472 48.86729100047107)
1004,POINT(2.330529104895408 48.86752890047103)
1005,POINT(2.33053160489542 48.86767520047105)
1007,POINT(2.334530904893954 48.86653090047083)
1008,POINT(2.334518004893993 48.86695170047083)
1010,POINT(2.340767704891502 48.86269900047035)
1011,POINT(2.342209804891056 48.8633053004703)
1012,POINT(2.341171404891584 48.86539010047045)
1014,POINT(2.341778504891385 48.86550270047043)
1016,POINT(2.34691020488902 48.85810530046989)
1017,POINT(2.34671970488909 48.85815710046992)
1018,POINT(2.346538604889156 48.85820660046991)
1020,POINT(2.346180304889284 48.858304300469904)
1026,POINT(2.336936204893089 48.866042800470666)
1028,POINT(2.33619990489337 48.866385000470736)
1030,POINT(2.329966404895357 48.864539200470986)
1031,POINT(2.330314104895262 48.86484070047096)
1032,POINT(2.330402204895243 48.86497800047097)
1035,POINT(2.330652004895201 48.86549400047097)
1036,POINT(2.330702604895155 48.86516330047095)
1039,POINT(2.342210604891293 48.86619350047042)
1050,POINT(2.345085104890392 48.86722520047031)
1051,POINT(2.345235004890345 48.8672703004703)
1052,POINT(2.345432204890282 48.8673299004703)
1056,POINT(2.346789404889851 48.86775110047025)
1059,POINT(2.347178604889729 48.86787730047026)
1060,POINT(2.347715704889556 48.86804040047021)
1074,POINT(2.349827404888884 48.86866420047012)
1075,POINT(2.349978104888836 48.86870920047014)
1083,POINT(2.35115920488846 48.869059000470095)
1085,POINT(2.35200970488819 48.869324300470076)
1087,POINT(2.342562404891172 48.86619570047039)
1088,POINT(2.342900304891069 48.866324300470374)
1093,POINT(2.345084504890385 48.86711490047033)
1094,POINT(2.345217104890341 48.86714820047032)
1096,POINT(2.34556530489023 48.867262300470294)
1102,POINT(2.349977904888827 48.86859610047016)
1103,POINT(2.350589204888632 48.86876550047009)
1109,POINT(2.349202104889074 48.86836370047016)
1114,POINT(2.351578804888206 48.86772100047005)
1115,POINT(2.351293804888319 48.867884500470055)
1116,POINT(2.351119604888381 48.867931600470044)
1118,POINT(2.350717904888528 48.86804010047009)
1120,POINT(2.350302404888679 48.868152300470086)
1125,POINT(2.350599304888582 48.86820760047011)
1127,POINT(2.338915204892792 48.87068080047073)
1129,POINT(2.338823804892851 48.871017400470784)
1133,POINT(2.332477204894788 48.86810850047098)
1136,POINT(2.333638404894483 48.86924470047099)
1139,POINT(2.332712904894712 48.86815460047096)
1143,POINT(2.342686004891076 48.86553100047038)
1144,POINT(2.342893704891014 48.865626300470375)
1147,POINT(2.344273804890609 48.866458400470336)
1154,POINT(2.346799604889688 48.86581380047018)
1155,POINT(2.346521104889788 48.865846600470185)
1156,POINT(2.346037004889958 48.865914000470205)
1157,POINT(2.345838404890029 48.86594270047021)
1158,POINT(2.34538880489019 48.866008800470276)
1161,POINT(2.346333604889865 48.86599880047021)
1162,POINT(2.346075804889956 48.86603640047022)
1164,POINT(2.345604204890124 48.86610580047023)
1165,POINT(2.345407004890192 48.86613440047026)
1166,POINT(2.345210104890263 48.866163100470274)
1167,POINT(2.345023004890329 48.866190500470275)
1168,POINT(2.344830704890398 48.86621830047031)
1171,POINT(2.340161004892034 48.866664300470525)
1172,POINT(2.340794404891914 48.86783710047057)
1173,POINT(2.34091190489189 48.86803570047054)
1174,POINT(2.34107534835886 48.868324203858705)
1175,POINT(2.341002704891843 48.86784680047055)
1178,POINT(2.341320704891782 48.868431400470534)
1184,POINT(2.349144504889171 48.86930830047018)
1191,POINT(2.348172104889494 48.86916840047024)
1193,POINT(2.348548004889365 48.86917310047022)
1203,POINT(2.353608004887581 48.86857770046995)
1206,POINT(2.352949804887824 48.868789700469996)
1210,POINT(2.352823504887873 48.868881400469995)
1222,POINT(2.34175272604772 48.868314768236424)
1223,POINT(2.34187260489169 48.86962830047059)
1228,POINT(2.340172304892261 48.86946870047066)
1230,POINT(2.35100130488839 48.86753170047004)
1237,POINT(2.349689516338238 48.8679964218977)
1256,POINT(2.349817104888834 48.868016500470105)
1261,POINT(2.350828604888442 48.86745740047004)
1264,POINT(2.350307304888631 48.8675848004701)
1265,POINT(2.35017230488868 48.86761730047007)
1268,POINT(2.34948160488893 48.86778450047012)
1269,POINT(2.349359504888975 48.86781220047014)
1270,POINT(2.349210104889029 48.86784580047017)
1286,POINT(2.352452004887866 48.86721520046995)
1287,POINT(2.35230290488792 48.86724840046996)
1288,POINT(2.352154404887974 48.867281300469976)
1290,POINT(2.351782304888107 48.86736360047)
1291,POINT(2.329806704895864 48.870045700471174)
1292,POINT(2.329365604896008 48.869972200471196)
1294,POINT(2.328853904896178 48.86988750047121)
1295,POINT(2.328499004896281 48.86965500047123)
1297,POINT(2.331190604895407 48.87028180047113)
1298,POINT(2.330969604895481 48.870246400471125)
1303,POINT(2.332830504894859 48.870444800471034)
1308,POINT(2.328907104896114 48.86935340047122)
1309,POINT(2.32871660489619 48.869489200471186)
1313,POINT(2.336729504893262 48.867281400470766)
1316,POINT(2.336702204893244 48.866956900470704)
1317,POINT(2.336887404893211 48.86731130047072)
1323,POINT(2.351098004888509 48.869410000470104)
1341,POINT(2.335888704893773 48.86998540047088)
1344,POINT(2.335866704893837 48.87069440047093)
1346,POINT(2.336012104893662 48.86916100047084)
1347,POINT(2.336349004893574 48.86951540047083)
1350,POINT(2.344561704890623 48.86785240047036)
1352,POINT(2.34587240489018 48.86793130047031)
1353,POINT(2.346193804890079 48.86803790047029)
1354,POINT(2.346434004890002 48.868113500470294)
1355,POINT(2.346614904889946 48.868170500470285)
1359,POINT(2.34813630488946 48.8686025004702)
1360,POINT(2.348354404889388 48.86865180047023)
1369,POINT(2.349479404889031 48.86900800047017)
1376,POINT(2.3443469487486 48.86739383305736)
1381,POINT(2.345345204890337 48.867642900470315)
1384,POINT(2.346827804889867 48.86811660047027)
1385,POINT(2.347050104889798 48.86818870047029)
1396,POINT(2.350104104888796 48.86874680047012)
1398,POINT(2.350252304888778 48.86914240047015)
1404,POINT(2.351544504888368 48.86954480047009)
1407,POINT(2.339410804892513 48.86936230047069)
1409,POINT(2.339534810031587 48.869435863664755)
1412,POINT(2.344773404890626 48.868779800470385)
1413,POINT(2.344550604890709 48.868867100470425)
1422,POINT(2.330949504895319 48.86818250047104)
1423,POINT(2.330584204895464 48.86842180047107)
1427,POINT(2.330506904895607 48.86984920047113)
1428,POINT(2.332436204894884 48.869108300471005)
1430,POINT(2.332096704895014 48.86925530047102)
1432,POINT(2.331532104895215 48.86936290047105)
1433,POINT(2.331502304895257 48.86974400047108)
1434,POINT(2.331106304895398 48.86981230047112)
1437,POINT(2.332546904894881 48.869533600471044)
1439,POINT(2.331856004895132 48.86968470047104)
1440,POINT(2.349656604888856 48.8676125004701)
1445,POINT(2.348806204888986 48.86563020047009)
1447,POINT(2.349114204888922 48.86614160047008)
1449,POINT(2.349208204888906 48.8663306004701)
1450,POINT(2.349264704888895 48.86644490047009)
1453,POINT(2.348873704888958 48.86557410047008)
1454,POINT(2.348926504888952 48.865696200470055)
1457,POINT(2.342116804891279 48.86562330047041)
1458,POINT(2.341850504891375 48.865687200470404)
1463,POINT(2.345077304890225 48.86513970047024)
1466,POINT(2.34881900488885 48.86401950046999)
1468,POINT(2.348421304888995 48.86411490047003)
1470,POINT(2.350531204888229 48.86360860046991)
1472,POINT(2.338224704893039 48.8708137004708)
1473,POINT(2.338181504893074 48.8710625004708)
1474,POINT(2.340243104892266 48.86983100047065)
1475,POINT(2.339911304892355 48.86952310047069)
1476,POINT(2.342377504891537 48.86986040047055)
1477,POINT(2.341863304891728 48.870045400470595)
1478,POINT(2.340913304892036 48.869824500470614)
1479,POINT(2.341485304891878 48.870275500470626)
1481,POINT(2.340267304892265 48.869923800470666)
1483,POINT(2.33963050489248 48.86986710047067)
1487,POINT(2.339080304892597 48.86900000047066)
1494,POINT(2.333655704894378 48.868031500470906)
1499,POINT(2.334236404894217 48.868498300470904)
1500,POINT(2.336669704893426 48.8690598004708)
1501,POINT(2.33665940489345 48.86927070047083)
1502,POINT(2.336788204893383 48.86900080047079)
1505,POINT(2.33696710489344 48.87045490047086)
1509,POINT(2.348201604889175 48.86539630047008)
1519,POINT(2.351157404888138 48.86512150046993)
1522,POINT(2.34902570488889 48.865374300470044)
1524,POINT(2.348332704889135 48.865450100470085)
1528,POINT(2.347798304889326 48.86556050047013)
1529,POINT(2.347621404889389 48.86559430047011)
1531,POINT(2.347377504889477 48.86564370047014)
1536,POINT(2.337488478316982 48.87071030596958)
1544,POINT(2.335473204893936 48.87022800047094)
1545,POINT(2.33510950489406 48.87022720047094)
1552,POINT(2.345296504890488 48.8692792004704)
1555,POINT(2.344409104890814 48.86954360047044)
1556,POINT(2.344089504890929 48.86961140047045)
1558,POINT(2.343813404891028 48.869660300470464)
1564,POINT(2.347504604889693 48.868802900470236)
1566,POINT(2.344646604890739 48.86961940047041)
1567,POINT(2.344319904890855 48.86967510047043)
1568,POINT(2.344153404890915 48.869710500470475)
1569,POINT(2.34394640489099 48.86975430047047)
1570,POINT(2.343686904891083 48.869809200470456)
1571,POINT(2.345635704890375 48.86932030047038)
1572,POINT(2.34725580488979 48.86896130047028)
1573,POINT(2.34706420488986 48.86899140047029)
1574,POINT(2.346926404889906 48.86899710047029)
1575,POINT(2.346757204889966 48.8690284004703)
1576,POINT(2.346588604890027 48.8690596004703)
1577,POINT(2.346418704890087 48.869091700470314)
1580,POINT(2.344235704890524 48.865267100470284)
1582,POINT(2.34053100489185 48.86596400047049)
1584,POINT(2.334479519448361 48.86927918467502)
1585,POINT(2.334576104894179 48.86945200047094)
1588,POINT(2.335141304894026 48.86994900047091)
