building_id,id,geom
1970703,building_1970703,POINT(-0.124897765042716 45.01681703937515)
2912442,building_2912442,POINT(-0.101099995279262 45.00532289961126)
3022062,building_3022062,POINT(-0.100632544578727 45.001523225289475)
7336637,building_7336637,POINT(-0.13207809456632 45.017059600293)
7377201,building_7377201,POINT(-0.127349761071664 45.01618600478611)
8075194,building_8075194,POINT(-0.148462994560108 45.02210160029446)
8284389,building_8284389,POINT(-0.150994294559326 45.02078160029444)
8284556,building_8284556,POINT(-0.150041094559599 45.0215388002945)
12522837,building_12522837,POINT(-0.147895994559432 45.032446000295714)
13259962,building_13259962,POINT(-0.115579661662088 45.00064168842538)
13297832,building_13297832,POINT(-0.116844029957778 45.000392533957985)
16510448,building_16510448,POINT(-0.132151335663733 45.017584701441955)
16510742,building_16510742,POINT(-0.118439471633642 45.00405990834703)
19305587,building_19305587,POINT(-0.099443916495807 45.0133812479296)
22406378,building_22406378,POINT(-0.128082450425438 45.015617234984084)
22406389,building_22406389,POINT(-0.139695775587617 45.0168467411076)
47038101,building_47038101,POINT(-0.110800790475825 45.00222654642173)
49347902,building_49347902,POINT(-0.13215178783755 45.01738145319873)
49347913,building_49347913,POINT(-0.127719205873305 44.99546731702757)
51035434,building_51035434,POINT(-0.126832099448449 44.99607137519665)
52294021,building_52294021,POINT(-0.125609863053223 44.99402659526053)
54376568,building_54376568,POINT(-0.133218060313498 45.017612423708286)
54376569,building_54376569,POINT(-0.133337494565819 45.01772230029315)
54376573,building_54376573,POINT(-0.129857994567155 45.01646200029282)
54935414,building_54935414,POINT(-0.139001594563918 45.01657200029333)
54935415,building_54935415,POINT(-0.139190994563839 45.01671300029334)
56959602,building_56959602,POINT(-0.128545294567604 45.016612800292734)
56959619,building_56959619,POINT(-0.143361202062159 45.01809073860635)
56959622,building_56959622,POINT(-0.101370994577266 45.01572300029125)
57405652,building_57405652,POINT(-0.135370494565502 45.013001000292675)
1304128,building_1304128,POINT(-0.136084694565194 45.0136584002928)
2074300,building_2074300,POINT(-0.125820094568713 45.01488480029242)
2316752,building_2316752,POINT(-0.116683994572297 45.01061900029143)
8112773,building_8112773,POINT(-0.151304209943901 45.01995941567899)
12214890,building_12214890,POINT(-0.108140043820301 45.01274890852121)
12357220,building_12357220,POINT(-0.100116994577939 45.01299600029081)
12387099,building_12387099,POINT(-0.098961834185608 45.013462992560996)
12480227,building_12480227,POINT(-0.098666094578368 45.01396870029087)
12489104,building_12489104,POINT(-0.101155669577947 45.00856910029035)
12810078,building_12810078,POINT(-0.143152570476902 45.01845221169435)
13099486,building_13099486,POINT(-0.127867994568371 45.01038300029199)
13236116,building_13236116,POINT(-0.114576656521623 45.000127648562405)
13367218,building_13367218,POINT(-0.125779586958084 44.99634018658691)
13380600,building_13380600,POINT(-0.127088994569888 44.99570700029013)
13403241,building_13403241,POINT(-0.136866557097565 45.00410081575884)
24739227,building_24739227,POINT(-0.128776194567701 45.014510300292535)
24739235,building_24739235,POINT(-0.117241594572919 45.00093630029026)
