"building_id","building_polygon_wkt"
70,"MULTIPOLYGON(((2.345063404889701 48.85868780047001,2.345091304889695 48.85873390047001,2.34511540488969 48.858774300469996,2.345162504889679 48.85885170047,2.34500230488974 48.85890390047002,2.344964904889752 48.85889350047003,2.344886504889764 48.85873490047002,2.345063404889701 48.85868780047001)))"
73,"MULTIPOLYGON(((2.338829004892205 48.86315880047049,2.338878804892194 48.863248100470486,2.338912704892188 48.86330780047048,2.338894104892196 48.863312700470495,2.338882704892198 48.86331560047048,2.338626604892291 48.863376400470486,2.338545604892308 48.863233500470486,2.338579504892293 48.86319900047049,2.338829004892205 48.86315880047049)))"
74,"MULTIPOLYGON(((2.344441604889975 48.85943160047005,2.344433104889978 48.859434900470056,2.344424604889981 48.85943770047006,2.344406904889987 48.85944260047005,2.343825004890187 48.85944020047011,2.343824804890187 48.859441900470074,2.34375790489021 48.85944050047008,2.343736204890218 48.85944040047009,2.343700104890227 48.85942760047011,2.343687904890232 48.859415900470104,2.343677804890234 48.859407700470086,2.343648504890242 48.859380000470104,2.343650704890242 48.85937900047011,2.343213704890358 48.8589571004701,2.342897004890433 48.85856500047012,2.342895204890434 48.858565700470095,2.342843004890446 48.858500900470105,2.342928804890414 48.85847790047009,2.342929604890414 48.858479000470105,2.343285304890285 48.85838360047006,2.343284504890286 48.85838230047008,2.343370404890254 48.85835930047008,2.343412904890245 48.85842580047006,2.343410804890247 48.858426200470056,2.343470204890233 48.85852770047006,2.343510004890224 48.85857510047008,2.343514504890222 48.85858050047005,2.34388920489013 48.85902520047005,2.34389300489013 48.859029900470055,2.343974304890109 48.859126600470084,2.344004204890103 48.85916200047008,2.344275104890019 48.85926870047006,2.344446404889967 48.859381700470045,2.344450004889969 48.859385100470035,2.344454204889966 48.85938970047005,2.344457304889967 48.85939470047005,2.344459504889966 48.85939990047006,2.344459904889967 48.85940120047005,2.344460404889966 48.85940570047007,2.344460404889967 48.85941020047005,2.344458704889968 48.85941500047006,2.344456104889969 48.85942020047007,2.344454204889969 48.85942300047007,2.344451704889971 48.85942610047006,2.344448404889972 48.85942900047005,2.344441604889975 48.85943160047005)))"
76,"MULTIPOLYGON(((2.340997204891509 48.86374330047038,2.34091870489154 48.863799000470415,2.340879304891557 48.8638270004704,2.34086770489156 48.863835100470396,2.340797904891588 48.863866800470404,2.34079430489159 48.863868000470404,2.340733404891612 48.863895900470396,2.340618904891642 48.86378730047042,2.340666804891623 48.86376800047042,2.340682704891619 48.863761000470404,2.340877504891545 48.86368340047041,2.340997204891509 48.86374330047038)))"
77,"MULTIPOLYGON(((2.34050870489171 48.86415150047043,2.340461304891727 48.86417320047042,2.340429904891733 48.86412050047044,2.340433304891732 48.86412040047042,2.340409804891738 48.864077800470426,2.340411504891738 48.86407780047043,2.340397504891739 48.86405380047045,2.340362804891747 48.863992800470456,2.340315704891756 48.863911400470414,2.340319004891755 48.86390900047044,2.340354904891741 48.86389500047043,2.340618904891642 48.86378730047042,2.340733404891612 48.863895900470396,2.34079430489159 48.863868000470404,2.340797904891588 48.863866800470404,2.34086770489156 48.863835100470396,2.340879304891557 48.8638270004704,2.34091870489154 48.863799000470415,2.340997204891509 48.86374330047038,2.341044604891494 48.863767000470396,2.341006904891511 48.86379810047039,2.340969404891526 48.8638225004704,2.340956704891529 48.863830000470394,2.340918804891545 48.863853300470396,2.340857804891571 48.8638922004704,2.34093600489155 48.8639632004704,2.340817704891594 48.86401540047042,2.340507004891711 48.86414880047044,2.34050870489171 48.86415150047043)))"
78,"MULTIPOLYGON(((2.340817704891594 48.86401540047042,2.34093600489155 48.8639632004704,2.340857804891571 48.8638922004704,2.340918804891545 48.863853300470396,2.340956704891529 48.863830000470394,2.340969404891526 48.8638225004704,2.341006904891511 48.86379810047039,2.341044604891494 48.863767000470396,2.34122220489144 48.863856000470385,2.341223204891442 48.8638552004704,2.341421804891381 48.86395410047039,2.341361904891406 48.86400960047037,2.34135000489141 48.864020300470386,2.341417504891389 48.86405160047039,2.341467904891376 48.86407650047038,2.341457604891378 48.864085800470384,2.341477804891374 48.864106300470354,2.341481104891372 48.86410900047038,2.341500504891367 48.86412770047039,2.341543704891356 48.8641720004704,2.341557704891354 48.86418640047038,2.341310704891447 48.86429720047041,2.34122220489147 48.86420930047038,2.341139204891502 48.8642466004704,2.341097904891513 48.8642104004704,2.341094404891513 48.864208100470385,2.341057504891527 48.8642292004704,2.340915004891566 48.86410150047041,2.340817704891594 48.86401540047042)))"
80,"MULTIPOLYGON(((2.339850304891847 48.863074700470435,2.339930104891815 48.86300650047042,2.339952704891807 48.86302170047041,2.340349404891658 48.86285180047038,2.340468804891626 48.862974600470416,2.340488004891622 48.862995500470376,2.340461804891632 48.863007500470374,2.340395404891657 48.86303520047039,2.340455204891641 48.86308260047039,2.34033080489169 48.8631499004704,2.340318604891694 48.863156900470415,2.340284704891705 48.86314160047038,2.340280604891706 48.86314410047043,2.340267904891711 48.8631557004704,2.340264204891712 48.863159200470406,2.340182304891746 48.863233200470404,2.339850304891847 48.863074700470435)))"
82,"MULTIPOLYGON(((2.341474504891313 48.863347100470335,2.341570304891288 48.86344050047037,2.341664904891253 48.86340360047035,2.341732704891227 48.86337760047036,2.341774004891211 48.86335660047034,2.341785304891206 48.86335060047034,2.341843704891184 48.86331410047034,2.341777304891203 48.863281900470334,2.341841404891177 48.863245400470326,2.341891904891164 48.86327270047035,2.341987504891147 48.86345640047034,2.341991204891143 48.86345550047035,2.341992604891145 48.86345820047035,2.341995404891144 48.86345780047033,2.341999004891143 48.86346460047032,2.341995904891144 48.863465100470336,2.341997304891144 48.86346810047033,2.341993904891145 48.863468800470336,2.341995204891145 48.863471500470354,2.34200920489114 48.863498000470315,2.342011604891141 48.86349760047035,2.342014604891141 48.86350320047034,2.34201210489114 48.86350380047032,2.342025904891138 48.863530300470316,2.342028404891138 48.86352980047034,2.342029704891138 48.863532500470306,2.342031104891137 48.86353230047033,2.342032604891136 48.86353500047033,2.342035004891136 48.86353440047033,2.342038604891136 48.86354100047033,2.342036104891135 48.86354150047035,2.342037604891137 48.863544500470354,2.342033504891136 48.863545400470336,2.342036304891136 48.863550200470335,2.342116704891122 48.86370500047033,2.342020304891158 48.86375050047036,2.34201820489116 48.863755300470345,2.341916004891199 48.86380170047035,2.341900404891203 48.863789000470334,2.341858204891219 48.86380740047037,2.341803204891234 48.86375920047034,2.341773004891245 48.86377410047035,2.341750904891255 48.863785000470365,2.34170810489127 48.863805800470374,2.341639504891297 48.86383880047036,2.34152380489134 48.86389470047038,2.341520804891341 48.86389340047036,2.341185804891444 48.86372590047039,2.341179604891445 48.8637227004704,2.34109030489147 48.86367780047037,2.340881604891534 48.86357360047038,2.34089220489153 48.86356820047039,2.3409700048915 48.863531500470394,2.340995704891491 48.86352120047037,2.341137904891438 48.863470800470395,2.34129660489138 48.86340950047035,2.341351504891358 48.86338920047036,2.341434304891327 48.86336100047036,2.341474504891313 48.863347100470335)))"
83,"MULTIPOLYGON(((2.34152380489134 48.86389470047038,2.34150050489135 48.86390710047038,2.341786004891264 48.86404980047036,2.341788604891262 48.86404750047037,2.341786304891263 48.86404550047036,2.341784704891265 48.86404310047037,2.341784104891263 48.86404100047036,2.341783604891263 48.864038500470365,2.341784004891264 48.86403610047036,2.341784304891262 48.86403500047038,2.341785704891262 48.86403060047038,2.341786004891262 48.86402960047036,2.341787604891262 48.86402730047037,2.341790104891258 48.86402510047036,2.34179110489126 48.864024600470366,2.341794904891258 48.86402200047037,2.341798504891257 48.864020100470356,2.341927804891208 48.86396110047035,2.341952804891198 48.86394960047033,2.34186890489122 48.86387470047037,2.341839904891229 48.863847400470355,2.341816104891234 48.86382620047034,2.341802004891241 48.863832200470355,2.341750904891255 48.863785000470365,2.34170810489127 48.863805800470374,2.341639504891297 48.86383880047036,2.34152380489134 48.86389470047038)))"
84,"MULTIPOLYGON(((2.345134804889839 48.86067350047007,2.345123204889842 48.860657900470095,2.345035904889873 48.86068030047008,2.344996304889884 48.860627400470065,2.344970304889889 48.860590600470076,2.344953904889892 48.86055780047007,2.344952604889892 48.860554800470105,2.345043604889859 48.86053860047007,2.345307304889765 48.86048370047008,2.345433704889718 48.860448800470046,2.345462804889709 48.860474800470044,2.345459504889712 48.860476000470044,2.345481704889704 48.86050140047002,2.345509204889699 48.860535100470045,2.345388004889744 48.860581600470084,2.345285704889783 48.86062180047004,2.345178004889822 48.86065920047007,2.345134804889839 48.86067350047007)))"
86,"MULTIPOLYGON(((2.344734604889944 48.860280700470064,2.344647104889969 48.86021840047007,2.344621504889976 48.86020010047005,2.344523504890004 48.86013100047009,2.344622204889965 48.860069100470064,2.344949804889836 48.85986630047005,2.3451006048898 48.86004490047005,2.345100704889801 48.86004740047005,2.344963804889855 48.860139000470056,2.344887204889885 48.86018600047004,2.344734604889944 48.860280700470064)))"
87,"MULTIPOLYGON(((2.345204404889775 48.86017060047006,2.345210904889772 48.86016750047005,2.345171304889781 48.86011330047005,2.345116804889794 48.86003930047005,2.345100704889801 48.86004740047005,2.344963804889855 48.860139000470056,2.344887204889885 48.86018600047004,2.344734604889944 48.860280700470064,2.344702004889956 48.86029930047007,2.344691704889961 48.86030530047006,2.344747804889946 48.86036930047009,2.344800204889925 48.86033780047008,2.344823704889918 48.86032160047007,2.344954104889864 48.86023950047005,2.344961104889863 48.86024890047007,2.345003104889848 48.860243800470066,2.345057404889828 48.860222900470056,2.345204404889775 48.86017060047006)))"
90,"MULTIPOLYGON(((2.344756804889813 48.85879080047003,2.344701904889821 48.85864250047001,2.344686204889822 48.85860040047,2.344570704889864 48.85862820047002,2.344449004889909 48.85865780047004,2.34441690488992 48.85866520047003,2.344376904889935 48.85867460047003,2.344371104889935 48.85866190047003,2.34433080488995 48.858670000470035,2.344258504889976 48.858684600470035,2.344269104889976 48.858706800470046,2.344298904889969 48.85875220047004,2.34429290488997 48.85875360047004,2.344287004889971 48.85875550047004,2.344284004889973 48.85875700047003,2.344279904889976 48.85875920047005,2.344275804889976 48.858762100470045,2.344272204889979 48.85876560047004,2.344269604889979 48.85876940047004,2.34426770488998 48.85877340047005,2.344266604889981 48.85877750047004,2.344266604889981 48.858778400470044,2.344266804889982 48.858781600470046,2.344267704889982 48.85878570047003,2.344269704889981 48.858789500470024,2.344283004889978 48.858809900470035,2.344286004889976 48.85881360047003,2.344289704889976 48.85881690047006,2.344293904889974 48.85881990047004,2.344297104889975 48.85882160047005,2.344302304889973 48.85882360047003,2.344308104889969 48.858825400470046,2.344314004889968 48.85882640047004,2.344320204889966 48.85882680047006,2.344322104889967 48.858826800470055,2.344325404889965 48.858826800470034,2.344332504889962 48.85882600047003,2.34433960488996 48.85882480047003,2.344144704890031 48.85888090047004,2.344053004890064 48.85890720047005,2.344005304890082 48.85891910047005,2.343966904890096 48.85892980047007,2.344039604890078 48.85901910047008,2.344140004890051 48.85911120047003,2.344417904889964 48.85922100047006,2.344475904889945 48.85919730047004,2.34451350488993 48.85918180047005,2.344578204889905 48.859155000470025,2.344594504889899 48.859150300470034,2.344613804889892 48.85914480047004,2.344745104889845 48.85910760047003,2.344748404889843 48.85911330047003,2.344758104889841 48.85913140047004,2.344805704889825 48.85911890047003,2.344816304889823 48.859147000470024,2.344827904889821 48.859178200470026,2.344832604889822 48.85919120047005,2.34486080488981 48.859184100470046,2.344951604889778 48.859159600470015,2.344871004889791 48.85899250047,2.344864004889792 48.858982600470014,2.344853704889796 48.858965200470024,2.344826504889801 48.85891710047001,2.344756804889813 48.85879080047003)))"
91,"MULTIPOLYGON(((2.345505804889644 48.85985440047003,2.345579104889627 48.85993630047004,2.34551870488965 48.85996380047004,2.345327504889721 48.860053400470036,2.345328204889721 48.86005690047004,2.345280504889741 48.86007990047006,2.345278904889741 48.860077900470046,2.345183604889765 48.85996380047006,2.345505804889644 48.85985440047003)))"
92,"MULTIPOLYGON(((2.345757704889594 48.86028700047,2.345727204889605 48.86029720047003,2.345698904889612 48.86026700047002,2.345560704889664 48.86031940047003,2.345546404889667 48.86029930047003,2.34548520488969 48.860321000470044,2.345449904889703 48.860333200470045,2.345258904889749 48.86008760047005,2.345280504889741 48.86007990047006,2.345328204889721 48.86005690047004,2.345327504889721 48.860053400470036,2.34551870488965 48.85996380047004,2.345605004889626 48.86005160047003,2.345756804889572 48.859991200470034,2.345771804889566 48.860007000470034,2.345803204889553 48.85999400047001,2.345801804889555 48.85999130047001,2.345803104889553 48.85998990047002,2.345857704889534 48.85996680047002,2.345933504889514 48.86004290047,2.345971404889504 48.86008520047001,2.34587490488954 48.86012410047004,2.345769404889579 48.860166800470026,2.345836704889563 48.86023970047005,2.345796104889578 48.86025740047001,2.34578710488958 48.860255000470026,2.345770204889587 48.86027140047003,2.345757704889593 48.86027680047003,2.345757704889594 48.86028700047)))"
93,"MULTIPOLYGON(((2.345757704889594 48.86028700047,2.345764004889602 48.86042300047003,2.345744004889609 48.86042220047005,2.345729204889615 48.86042750047004,2.34560790488966 48.86046870047004,2.34548680488969 48.86032300047004,2.34548520488969 48.860321000470044,2.345546404889667 48.86029930047003,2.345560704889664 48.86031940047003,2.345698904889612 48.86026700047002,2.345727204889605 48.86029720047003,2.345757704889594 48.86028700047)))"
94,"MULTIPOLYGON(((2.325047504897207 48.86651610047128,2.324999804897218 48.8664574004713,2.324985704897222 48.86643890047127,2.325220304897134 48.86635180047126,2.325290404897118 48.86643600047128,2.325214004897145 48.86646110047129,2.325195304897151 48.86646720047129,2.325047504897207 48.86651610047128)))"
96,"MULTIPOLYGON(((2.326317204896867 48.86766800047126,2.32642300489684 48.86779450047125,2.326205704896921 48.86787690047127,2.326229804896915 48.86791120047129,2.326070904896969 48.867887100471286,2.326014404896988 48.86787860047128,2.326058804896963 48.86776760047127,2.326060604896961 48.86776220047128,2.326061604896961 48.86775850047128,2.326109404896943 48.867741500471276,2.326167804896922 48.867720900471255,2.326317204896867 48.86766800047126)))"
97,"MULTIPOLYGON(((2.32633690489689 48.86805900047128,2.326370204896882 48.86810170047127,2.326609204896794 48.86801760047127,2.32642300489684 48.86779450047125,2.326205704896921 48.86787690047127,2.326229804896915 48.86791120047129,2.326256304896908 48.86794740047127,2.326313004896896 48.86802470047129,2.32633690489689 48.86805900047128)))"
98,"MULTIPOLYGON(((2.326453104896863 48.86821760047127,2.326404604896876 48.868150400471265,2.326370204896882 48.86810170047127,2.326609204896794 48.86801760047127,2.326672804896779 48.86809350047127,2.326534804896829 48.86814630047129,2.326561604896824 48.868178100471255,2.326453104896863 48.86821760047127)))"
99,"MULTIPOLYGON(((2.326803804896746 48.868250800471245,2.326775504896754 48.86821690047125,2.326519104896848 48.86830960047129,2.326546504896842 48.868349700471285,2.326655204896817 48.868506900471296,2.326656104896818 48.868508200471304,2.326668604896815 48.86852690047125,2.32669720489681 48.868566900471265,2.326751104896796 48.86864530047129,2.326791804896789 48.868703000471264,2.327089804896676 48.868593100471266,2.327041304896687 48.868535400471245,2.327044304896687 48.868534200471274,2.327039104896687 48.86852800047127,2.327036104896688 48.86852900047125,2.327018504896694 48.86850800047125,2.327021604896692 48.86850690047127,2.327016304896693 48.868500500471264,2.327013204896695 48.868501700471256,2.326936604896714 48.868409700471275,2.326855904896733 48.868313000471254,2.326803804896746 48.868250800471245)))"
