id,geom
building_18817,POINT(3.334449804390877 46.646557600292645)
building_19592,POINT(3.102418004455446 46.49967200029045)
building_20000,POINT(2.785545101036736 46.228700524312075)
building_500196,POINT(3.674652212506286 46.34268259291608)
building_501084,POINT(3.054706477315006 46.54175925182448)
building_501104,POINT(3.278849004399684 46.51928100028451)
building_501117,POINT(2.708182004594736 46.63958300031945)
building_501716,POINT(2.832931041164439 46.65009194927105)
building_501893,POINT(3.983887004160502 46.321294000238645)
building_503028,POINT(2.550620468070622 46.253545416990676)
building_503071,POINT(3.102884004461964 46.59125600029807)
building_506554,POINT(2.626270778077548 46.30258902264333)
building_507795,POINT(3.435588604336284 46.33894150026253)
building_511621,POINT(3.472918904333291 46.4653638002718)
building_512006,POINT(3.029998004480715 46.52311300029555)
building_609468,POINT(3.962931043532988 46.334962392163604)
building_620186,POINT(2.37802137469812 46.50833787456766)
building_624087,POINT(3.546465004301222 46.34558000025851)
building_626830,POINT(3.819877442176495 46.39152211153157)
building_706291,POINT(2.697163230156181 46.698793704324245)
building_706670,POINT(3.526092004318122 46.492107000271815)
building_709842,POINT(3.583807280484805 46.417131655025)
building_714455,POINT(3.440288504327948 46.242837300253875)
building_716669,POINT(3.684034004262994 46.426850000259805)
building_720897,POINT(3.536002347080165 46.61337876201563)
building_721727,POINT(3.03157950449879 46.776715500316136)
building_725240,POINT(3.590714668384679 46.354701487118795)
building_727133,POINT(3.114882004457784 46.58743200029721)
building_727328,POINT(3.007191444234258 46.73057816170058)
building_803296,POINT(3.663679482047129 46.383677164024995)
building_805208,POINT(3.253708524987451 46.21640088782504)
building_811024,POINT(3.162678713040252 46.676738103776884)
building_811749,POINT(2.761019179140358 46.25504669455446)
building_812084,POINT(3.19753719585386 46.58204344229589)
building_819096,POINT(3.587116943804284 46.35481199655671)
building_824309,POINT(2.361863173706925 46.433462732360354)
building_824826,POINT(2.629148958611306 46.13771575763238)
building_888011,POINT(3.587057304288852 46.354217500257555)
building_903950,POINT(2.754422704551096 46.25646748361779)
building_904303,POINT(2.991573992652774 46.497475799184734)
building_905341,POINT(3.583116164264822 46.37746356663869)
building_906089,POINT(2.808654979546772 46.43821982529804)
building_906189,POINT(3.702219004265537 46.545709000269)
building_907357,POINT(3.983420204161669 46.336126400239955)
building_907389,POINT(3.703403023030356 46.07532298438313)
building_907519,POINT(3.584760004289626 46.35481100025773)
building_908961,POINT(2.788159004554108 46.446598000299666)
building_912261,POINT(3.136782829447809 46.54813857529303)
building_912574,POINT(3.125603706473497 46.30202544594923)
building_969661,POINT(3.354244004367588 46.411107700272176)
building_970919,POINT(3.628440246518414 46.326326155907076)
building_974494,POINT(3.698326004236989 46.12008700023229)
