building_id,id,geom
766153,building_766153,POINT(-0.221103915489463 45.020573556812536)
991469,building_991469,POINT(-0.223357994534409 45.01290800029729)
2298864,building_2298864,POINT(-0.225373883092637 45.003456373923775)
2341338,building_2341338,POINT(-0.209679662306182 45.00529713892135)
2485890,building_2485890,POINT(-0.217182810424395 44.99800207970246)
2633555,building_2633555,POINT(-0.205025934542082 44.99893254029464)
3401413,building_3401413,POINT(-0.225400328140361 45.00721314377851)
4020521,building_4020521,POINT(-0.22702233557008 45.00459805405589)
28287534,building_28287534,POINT(-0.216190405648534 45.00729122251848)
28779359,building_28779359,POINT(-0.230840079033968 45.010620334581226)
742093,building_742093,POINT(-0.220585578586088 45.01510806132834)
2096986,building_2096986,POINT(-0.216109239581688 45.007185447092134)
2247853,building_2247853,POINT(-0.219330205041605 45.00466863899605)
2571543,building_2571543,POINT(-0.225045239581891 45.00732778053505)
3843778,building_3843778,POINT(-0.223200468605761 44.997861966871426)
22409090,building_22409090,POINT(-0.229378134450402 45.00827729977653)
23301318,building_23301318,POINT(-0.225176863602176 45.0072997614733)
50536586,building_50536586,POINT(-0.231661821187498 45.00925039873083)
51483589,building_51483589,POINT(-0.225980172059091 45.01367020792625)
52240348,building_52240348,POINT(-0.226382501354892 45.00359022871524)
78403069,building_78403069,POINT(-0.225962994534192 45.00461700029645)
2158044,building_2158044,POINT(-0.218099300665901 45.00698770335702)
2659716,building_2659716,POINT(-0.224758377871985 45.00807182841561)
2686365,building_2686365,POINT(-0.219936330855271 45.00427280478345)
49933451,building_49933451,POINT(-0.236420061942657 45.00826697738037)
