building_id,id,geom
1557202,building_1557202,POINT(-0.436515994511159 44.72937685250188)
2341162,building_2341162,POINT(-0.430122216203535 44.72330075199452)
3260933,building_3260933,POINT(-0.441896994481642 44.7233400002725)
3275070,building_3275070,POINT(-0.446601541118663 44.723203413119826)
3621427,building_3621427,POINT(-0.429169894486233 44.72251720027174)
24740382,building_24740382,POINT(-0.437957845078158 44.72770317378981)
24740385,building_24740385,POINT(-0.438757994482306 44.72859470027303)
24740389,building_24740389,POINT(-0.433920494483474 44.735013400273594)
28778471,building_28778471,POINT(-0.43875786115003 44.71627427527144)
45450994,building_45450994,POINT(-0.440798994481865 44.72529800027271)
45776005,building_45776005,POINT(-0.439373194482306 44.72604740027275)
51482712,building_51482712,POINT(-0.414091083378902 44.7408786336066)
54967247,building_54967247,POINT(-0.436311194484338 44.715030100271136)
56960916,building_56960916,POINT(-0.438844394482275 44.72860210027304)
56961011,building_56961011,POINT(-0.424682694487457 44.72682860027204)
56961031,building_56961031,POINT(-0.450974622520369 44.726310374592764)
1030332,building_1030332,POINT(-0.440935994481784 44.725645000272756)
1310382,building_1310382,POINT(-0.439897794482145 44.72574720027272)
1323847,building_1323847,POINT(-0.448741064047354 44.72720639553509)
2036960,building_2036960,POINT(-0.432311570961101 44.72979524608281)
2198149,building_2198149,POINT(-0.421203994488766 44.72596400027174)
2212845,building_2212845,POINT(-0.422559439289027 44.72367935833658)
2241573,building_2241573,POINT(-0.423880282247898 44.72023924541024)
2382890,building_2382890,POINT(-0.438246994482746 44.725574000272616)
2516421,building_2516421,POINT(-0.419245447863708 44.733240739798774)
3363367,building_3363367,POINT(-0.438990994482527 44.72504800027257)
3369841,building_3369841,POINT(-0.431857994485195 44.723490000272)
23910898,building_23910898,POINT(-0.441905494481457 44.725450700272795)
25448647,building_25448647,POINT(-0.441410150711055 44.72528089292287)
28258288,building_28258288,POINT(-0.438783706982283 44.728744425273035)
49348507,building_49348507,POINT(-0.451633394477894 44.72669300027346)
49931377,building_49931377,POINT(-0.443508406613556 44.7260349111298)
54377435,building_54377435,POINT(-0.440625921755787 44.71208288663461)
54766198,building_54766198,POINT(-0.449043994478732 44.72765100027344)
54786616,building_54786616,POINT(-0.442396694481493 44.72301150027249)
937454,building_937454,POINT(-0.439826044115669 44.7296726698402)
1356144,building_1356144,POINT(-0.439323156020834 44.72549236181111)
1508495,building_1508495,POINT(-0.452315994477596 44.727330000273575)
2291481,building_2291481,POINT(-0.429778917227753 44.726182365199335)
2569897,building_2569897,POINT(-0.415306394489589 44.74080030027334)
2878376,building_2878376,POINT(-0.415985094489245 44.74199520027356)
3407027,building_3407027,POINT(-0.429635194486108 44.72203120027171)
3411935,building_3411935,POINT(-0.428339499528215 44.72208987528975)
3416835,building_3416835,POINT(-0.428366994486602 44.72154400027154)
3899833,building_3899833,POINT(-0.437154994483234 44.72440300027239)
3902548,building_3902548,POINT(-0.440538994481966 44.725195000272656)
19472081,building_19472081,POINT(-0.441585994481567 44.72549600027275)
19472094,building_19472094,POINT(-0.444655994480406 44.72631800027304)
19472619,building_19472619,POINT(-0.414945766248374 44.74167051882779)
