building_id,id,geom
2750904,building_2750904,POINT(-0.443587179689505 44.48658710580673)
2761272,building_2761272,POINT(-0.444313094501072 44.48677360024153)
2896880,building_2896880,POINT(-0.442967194501125 44.491717160242096)
3042740,building_3042740,POINT(-0.444728778486693 44.49000904555552)
23300245,building_23300245,POINT(-0.466358816716367 44.47643086135241)
28778264,building_28778264,POINT(-0.469512994492706 44.480167000241934)
4292966,building_4292966,POINT(-0.424659015530795 44.47276351373141)
4468437,building_4468437,POINT(-0.429728463213667 44.477656135085645)
52461552,building_52461552,POINT(-0.440032785918871 44.48202600074235)
