building_id,id,geom
2209386,building_2209386,POINT(-0.88102467764883 45.32081773020549)
2346401,building_2346401,POINT(-0.85611364556327 45.31965186447119)
3306762,building_3306762,POINT(-0.877418724160046 45.32213025554031)
3460396,building_3460396,POINT(-0.879208266480602 45.31592834316184)
3766150,building_3766150,POINT(-0.910586994261791 45.3158240003713)
3770839,building_3770839,POINT(-0.905901872042058 45.30689212259217)
24741172,building_24741172,POINT(-0.879365810430552 45.322520416617174)
25449411,building_25449411,POINT(-0.87703188233057 45.322776242354564)
781822,building_781822,POINT(-0.880830965446797 45.32500746377634)
807744,building_807744,POINT(-0.863963994277122 45.33387900037074)
1644392,building_1644392,POINT(-0.861120325417524 45.32876653440033)
1664766,building_1664766,POINT(-0.877354094273241 45.32277170037022)
2320686,building_2320686,POINT(-0.855366994280636 45.32936900036973)
2455415,building_2455415,POINT(-0.892825994268457 45.313337000369984)
16061562,building_16061562,POINT(-0.877093717020998 45.32204394776987)
19585306,building_19585306,POINT(-0.874304994274057 45.32608800037044)
54993768,building_54993768,POINT(-0.877589888455494 45.32348560800812)
1310506,building_1310506,POINT(-0.876552834430382 45.321954441516795)
1311700,building_1311700,POINT(-0.917294707772643 45.31839165172333)
1344808,building_1344808,POINT(-0.879973994272286 45.32283100037039)
1943959,building_1943959,POINT(-0.858184003371518 45.31805961855039)
2098809,building_2098809,POINT(-0.863606394279191 45.31182240036816)
2541684,building_2541684,POINT(-0.877958621328509 45.312637607598965)
3353012,building_3353012,POINT(-0.891974860778437 45.312024932926114)
3848560,building_3848560,POINT(-0.892681488494602 45.31217237673616)
49933067,building_49933067,POINT(-0.896206086712293 45.30940665279184)
