building_id,id,geom
576450,building_576450,POINT(-0.553172894440032 44.74656620028142)
19714085,building_19714085,POINT(-0.550362094440764 44.74970310028168)
19714120,building_19714120,POINT(-0.555095394439241 44.74779270028167)
19714133,building_19714133,POINT(-0.549044394441064 44.75167050028187)
19714134,building_19714134,POINT(-0.54900766933738 44.75161788799956)
19714258,building_19714258,POINT(-0.553121594439327 44.7549461002825)
19714260,building_19714260,POINT(-0.551652748348249 44.755295464373)
19714262,building_19714262,POINT(-0.550425095605561 44.75326811519897)
19714308,building_19714308,POINT(-0.549905594440312 44.75682950028258)
19714342,building_19714342,POINT(-0.549365600690492 44.756972706532586)
19714421,building_19714421,POINT(-0.540624794443685 44.756096600281985)
19714445,building_19714445,POINT(-0.529200511652557 44.75678079680955)
19714452,building_19714452,POINT(-0.530701994447113 44.75737000028164)
19714508,building_19714508,POINT(-0.530590863805574 44.75622121865278)
19714642,building_19714642,POINT(-0.51421247688071 44.764673504978354)
19714717,building_19714717,POINT(-0.53171441498029 44.75580329477759)
19714719,building_19714719,POINT(-0.531728270956997 44.755226244693155)
19714721,building_19714721,POINT(-0.530289540059717 44.75532398574322)
19714722,building_19714722,POINT(-0.53055075380046 44.75431017822751)
19714725,building_19714725,POINT(-0.532831912558711 44.75414776250591)
19714730,building_19714730,POINT(-0.531902856046107 44.75404707760525)
19714731,building_19714731,POINT(-0.531754277228198 44.75234406546743)
19714732,building_19714732,POINT(-0.53214969444703 44.75233320028103)
19714733,building_19714733,POINT(-0.531608794447254 44.75197260028099)
19714741,building_19714741,POINT(-0.528380794448286 44.753358400280995)
19714743,building_19714743,POINT(-0.530331358055968 44.753564199503224)
19714744,building_19714744,POINT(-0.530427594447473 44.7543193002812)
19714746,building_19714746,POINT(-0.529870594447621 44.754910100281236)
19714751,building_19714751,POINT(-0.528161747380088 44.750163575779325)
19714764,building_19714764,POINT(-0.53244809444671 44.754829100281384)
19714766,building_19714766,POINT(-0.532587458543286 44.75415094432329)
19714779,building_19714779,POINT(-0.529707194447795 44.7535639002811)
19714786,building_19714786,POINT(-0.534508094445994 44.75461900028149)
19714821,building_19714821,POINT(-0.534983272521422 44.74878093390135)
19714851,building_19714851,POINT(-0.533942980653546 44.75239970071084)
19714876,building_19714876,POINT(-0.531836591849975 44.746001937252586)
19714889,building_19714889,POINT(-0.531403909144906 44.74792124018515)
19714896,building_19714896,POINT(-0.532189739901812 44.74942472755342)
19714907,building_19714907,POINT(-0.528155052975874 44.741673539418315)
19714908,building_19714908,POINT(-0.525194894450223 44.74405480027962)
19714928,building_19714928,POINT(-0.526109794450426 44.73790050027888)
19714939,building_19714939,POINT(-0.521304356892459 44.73051389331759)
19714941,building_19714941,POINT(-0.517798140024288 44.72965687643567)
19714976,building_19714976,POINT(-0.526906143180015 44.73084817011164)
19714980,building_19714980,POINT(-0.525786994451174 44.730561000277895)
19714989,building_19714989,POINT(-0.523000735029213 44.72641534309116)
19715000,building_19715000,POINT(-0.531349272227246 44.73003226502339)
19715002,building_19715002,POINT(-0.530940133942513 44.729519985559676)
19715016,building_19715016,POINT(-0.529384877520149 44.7236548368117)
19715017,building_19715017,POINT(-0.530015994450258 44.72370290027724)
19715019,building_19715019,POINT(-0.530648994449962 44.72453200027738)
19715022,building_19715022,POINT(-0.529791621723012 44.724321191186405)
19715027,building_19715027,POINT(-0.529429066730155 44.724518362508256)
19715034,building_19715034,POINT(-0.528466894450688 44.72512160027734)
19715064,building_19715064,POINT(-0.534137926589797 44.73322294164611)
19715065,building_19715065,POINT(-0.533235794448465 44.73119070027839)
19715068,building_19715068,POINT(-0.535679504371111 44.73026353366407)
19715076,building_19715076,POINT(-0.536961637987353 44.73024278015776)
19715077,building_19715077,POINT(-0.536489894447233 44.73204240027866)
19715081,building_19715081,POINT(-0.537411964431851 44.73163491275919)
19715085,building_19715085,POINT(-0.537516239858674 44.73077335643044)
19715089,building_19715089,POINT(-0.537603994446873 44.731610000278685)
19715094,building_19715094,POINT(-0.537955910672256 44.732590824900214)
19715096,building_19715096,POINT(-0.537119666946811 44.732032619835195)
19715098,building_19715098,POINT(-0.536456594505184 44.73458529013512)
19715102,building_19715102,POINT(-0.538486994446444 44.73291970027887)
19715113,building_19715113,POINT(-0.537455365875148 44.735665257422056)
19715115,building_19715115,POINT(-0.536887957897731 44.73521112311894)
19715120,building_19715120,POINT(-0.537623494446477 44.73611570027927)
