id,geom
building_517880,POINT(3.204691161397832 49.223721149158095)
building_518069,POINT(3.338108004607587 49.53925100044391)
building_518455,POINT(3.171425066043178 49.734188816365034)
building_518466,POINT(3.655563697764096 49.63076950951052)
building_518898,POINT(3.411720113849356 49.08315218414852)
building_519734,POINT(3.254551487311438 49.08658886850779)
building_521712,POINT(3.303420218696137 49.545743439139486)
building_525177,POINT(3.277848560980943 49.29103766984814)
building_526048,POINT(3.608356004491766 49.21428200042289)
building_528115,POINT(3.462273091229467 49.49990251377061)
building_529331,POINT(3.160330684133481 49.25819080445447)
building_529597,POINT(3.29658900462257 49.55194900044611)
building_531979,POINT(3.64662560450064 49.49232020042881)
building_533235,POINT(3.910398004405642 49.39486250041467)
building_534259,POINT(3.831596536606238 50.036187023519155)
building_534459,POINT(3.80627696158713 49.44944702899209)
building_536419,POINT(3.397508004570414 49.32148600043552)
building_538462,POINT(3.197684004631975 49.25229400044266)
building_538599,POINT(3.264680998356893 49.810089778136835)
building_541804,POINT(3.376063482397658 49.90066385095512)
building_541823,POINT(3.606504480574915 49.21394708475078)
building_547302,POINT(3.295085004608509 49.369072000441506)
building_548069,POINT(3.409455004547286 49.07671300042751)
building_552033,POINT(3.278176631041964 49.23595682251638)
building_555933,POINT(3.847638579278459 49.49665557999087)
building_637796,POINT(3.26074079284578 49.2666545489995)
building_638228,POINT(3.392182004618484 49.90154100044885)
building_638705,POINT(3.245245166730062 50.00254357372796)
building_639572,POINT(3.041298717776287 49.25958845461498)
building_644217,POINT(3.707835604495398 49.6857676004305)
building_644224,POINT(3.244951388088154 50.002342788806615)
building_647870,POINT(3.770538144496474 49.964407807932794)
building_648987,POINT(3.285997004625964 49.549768900446544)
building_649601,POINT(3.263142668064661 49.81357807813624)
building_649622,POINT(3.605434618966318 49.65757015486988)
building_651402,POINT(3.285947404626014 49.55020680044659)
building_652029,POINT(3.6920266418872 50.019090045475664)
building_653176,POINT(3.149183253911779 49.928118287623036)
building_654268,POINT(3.180642938025025 49.92119856712562)
building_654493,POINT(3.352101004575106 49.18776600043366)
building_654921,POINT(3.584067263500331 50.042479167600334)
building_656053,POINT(3.604519641273968 49.65765140121922)
building_657270,POINT(3.940256092324073 49.82161213066378)
building_660276,POINT(3.098937752177745 49.80844824439629)
building_662023,POINT(3.244152963994819 50.00188087040209)
building_665546,POINT(3.729222264516404 50.041094680435734)
building_668928,POINT(4.138021344094527 49.85936949251734)
building_735251,POINT(3.237492004599801 49.0135820004332)
building_736081,POINT(3.673022470152858 49.65192240900736)
building_736082,POINT(3.302493920446303 49.45942006120534)
building_739198,POINT(3.264852268309085 50.02863648043613)
