id,geom
building_21834,POINT(7.168326014912157 43.80962839411166)
building_22170,POINT(7.391159003010594 43.97837299988071)
building_22344,POINT(7.16049142861616 43.920165689720925)
building_38320,POINT(6.900481316458969 43.58372363984235)
building_280709,POINT(7.320475303022686 43.83774619986477)
building_500549,POINT(6.829308853178452 44.177998224919925)
building_500709,POINT(7.288781754767241 44.11322285857102)
building_500921,POINT(7.081415657642728 43.988336772617124)
building_503109,POINT(7.152994003088138 44.18893099991268)
building_503183,POINT(7.293692335170988 43.80086386057501)
building_503629,POINT(7.364621190706868 43.937093822488656)
building_503744,POINT(7.24650710860795 44.0094133554438)
building_505827,POINT(7.33894896016949 44.007820042742814)
building_510719,POINT(7.197509563685594 43.846861930353036)
building_511800,POINT(6.787052758473081 43.79929702638202)
building_512186,POINT(6.936329484064361 43.51726257126112)
building_516764,POINT(6.874114564935979 43.65630483943821)
building_516783,POINT(7.211471984443317 43.79312354599182)
building_598006,POINT(7.181510003073705 44.069038999897245)
building_605948,POINT(6.93679580311164 43.51349579983206)
building_607028,POINT(7.09477723358395 43.65924334554649)
building_607988,POINT(6.645364003208256 43.78256849987506)
building_612097,POINT(7.43967366427669 43.77397064716549)
building_613827,POINT(7.48339345262254 43.827565845604106)
building_614001,POINT(6.875147056895144 43.65558981116461)
building_615943,POINT(6.875299345135548 43.65560940020687)
building_618958,POINT(6.845883503144212 43.64384659985171)
building_621663,POINT(6.875045354309892 43.65549251795804)
building_621690,POINT(7.435360420378498 43.76710567376596)
building_623944,POINT(6.999684003105115 43.71381999985691)
building_625515,POINT(6.875092303136681 43.65532299985244)
building_625539,POINT(7.096522003075205 43.65954499984735)
building_626424,POINT(7.136441605552496 43.99788863633115)
building_627446,POINT(6.643534335870053 43.78116065726463)
building_704445,POINT(7.303911768089289 43.83176147003225)
building_708481,POINT(6.936981303111281 43.5078625998313)
building_708930,POINT(7.317640103019354 43.76054849985494)
building_711327,POINT(7.14217480380085 43.8545757928868)
building_717705,POINT(6.936803167758228 43.5097513392247)
building_718262,POINT(7.251413963053446 44.054461819893675)
building_720701,POINT(6.724795320214672 43.847822956119245)
building_727368,POINT(6.726360816347078 43.84841109198675)
building_728032,POINT(7.441852002997448 43.995087999881534)
building_729549,POINT(6.813077049317719 43.80606510106666)
building_731932,POINT(7.241682578039978 43.753064466522574)
building_733245,POINT(6.836093391984989 44.17415102482902)
building_733318,POINT(7.103157068087898 43.92728528488165)
building_733509,POINT(6.86782165832613 43.65172185399995)
building_799811,POINT(7.382258228002507 43.77955837485581)
building_800792,POINT(6.845520603144161 43.64111069985133)
building_801245,POINT(6.916672253372862 43.747302218426455)
building_802279,POINT(6.940451277955316 43.506533421181615)
building_802754,POINT(7.382029076686736 43.77866248932941)
building_803693,POINT(6.940359344680364 43.5064708110046)
building_803809,POINT(7.182492580368391 43.79160696481548)
building_804071,POINT(7.248138303054302 44.05344669989366)
building_804211,POINT(7.237084784839797 43.76176741430839)
building_806702,POINT(7.239839774475786 43.878328999871925)
building_807163,POINT(7.060273003084507 43.64537899984644)
building_809671,POINT(7.379403754170305 43.85900584405207)
building_811936,POINT(6.846391242139128 43.64034339403539)
building_824605,POINT(6.790559899852435 43.82885101884488)
building_885251,POINT(7.425679002996254 43.88789199986849)
building_885773,POINT(7.402879970801677 43.75352199087375)
building_887993,POINT(6.858696483324825 43.6484410716579)
building_892069,POINT(7.300386203029897 43.8685824998692)
building_892166,POINT(7.239722403047204 43.87753189987184)
building_894480,POINT(7.190938089505963 43.82196313276088)
building_894876,POINT(6.938739703110613 43.504600699830796)
building_894878,POINT(7.356487303012851 43.840126299864195)
building_897236,POINT(7.190230629291414 43.822295323046134)
building_897623,POINT(6.938786678438473 43.50490973627655)
building_898846,POINT(6.805376152079673 43.80451729550707)
building_898901,POINT(6.858375784996043 43.64789304667386)
building_899769,POINT(7.165192950716735 43.81348031610572)
building_900081,POINT(7.379905103005654 43.82654379986188)
building_900645,POINT(7.183501659800517 43.789617670264434)
building_900738,POINT(7.017207165824701 43.7033805876467)
building_901463,POINT(6.990134503123576 44.002470099893955)
building_901572,POINT(6.858630757320149 43.64787134252275)
building_901977,POINT(7.375355203005006 43.79070269985739)
building_907556,POINT(7.006139803112115 43.87474999987744)
building_908203,POINT(6.874011170408161 43.656048743350595)
building_908212,POINT(6.858250328676184 43.64781811530276)
building_910408,POINT(7.164950708312504 43.81597279627104)
building_910867,POINT(6.875239826912003 43.655546117410076)
building_910906,POINT(7.235709703042257 43.76462499985753)
building_911320,POINT(6.970534094869112 43.85537307189487)
building_912196,POINT(6.93946527360324 43.50570932978723)
building_967398,POINT(6.90534500315447 44.13162199991225)
building_970925,POINT(7.004284441001713 43.87426527142944)
building_974410,POINT(6.875642003153046 43.95437799989095)
building_975764,POINT(7.391571902998287 43.74843839985157)
building_976295,POINT(6.808473503163268 43.79849029987283)
building_976854,POINT(6.904202852612898 44.13275037031081)
building_981835,POINT(7.388645802999132 43.74909829985176)
building_981973,POINT(7.377020503006288 43.82351889986154)
building_982427,POINT(6.981169003121057 43.91053599988265)
building_982940,POINT(7.191715775875867 43.822857869127894)
building_982942,POINT(7.168318003063368 43.80929399986496)
building_985295,POINT(7.191497624060221 43.82275290933782)
building_987595,POINT(6.884729301615583 43.95284695482287)
building_988851,POINT(7.310281827669142 44.048712267370774)
building_992435,POINT(6.8746350031533 43.95392999989092)
building_993219,POINT(6.981742003120883 43.910355999882604)
building_993289,POINT(6.903898337933744 43.88593230429892)
building_993673,POINT(7.004624003112496 43.87393949987738)
building_995108,POINT(7.371541716398409 43.80282423261715)
building_1022571,POINT(6.649488184440501 43.789774182701706)
building_1023662,POINT(6.944156903109095 43.50442349983065)
building_1025005,POINT(7.192165957792335 43.82247905405641)
building_1025596,POINT(7.372151103005251 43.77856079985593)
building_1026163,POINT(7.192161323057437 43.82225087986603)
building_1026194,POINT(7.006125803112096 43.874335999877424)
building_1027877,POINT(7.171974648738625 43.785413848804026)
building_1028537,POINT(7.192201003057424 43.82213799986598)
building_1030460,POINT(7.093401214375674 43.84695233506723)
building_1030903,POINT(7.006271642589248 43.874125696742546)
building_1030932,POINT(7.164607003067425 43.86529699987219)
building_1033312,POINT(7.267409667769143 43.810392813444565)
building_1033645,POINT(7.369670928007006 43.798853924858584)
building_1034529,POINT(7.192186522901623 43.822472719710284)
building_1034807,POINT(7.383621203004235 43.819173499860824)
building_1035889,POINT(6.816692872187489 44.12773801024471)
building_1038039,POINT(6.940698503110001 43.5034213998306)
building_1038357,POINT(7.14902900307633 43.9499075998833)
building_1040380,POINT(7.005116003116348 43.94692679988663)
building_1041649,POINT(7.166552296849984 43.80709516634112)
building_1041691,POINT(7.234202701651564 43.87398491706273)
building_1041770,POINT(7.006135103112056 43.87364679987735)
building_1041798,POINT(7.465235802982728 43.83845799986126)
building_1043436,POINT(7.118202003077989 43.82194249986784)
building_1047906,POINT(7.355123353869055 43.836628640939075)
building_1049126,POINT(6.859525423868285 43.6493704437172)
building_1049133,POINT(7.092934462840691 43.84671192724763)
building_1049375,POINT(7.268693903035613 43.8112276998627)
building_1049537,POINT(7.101354796462811 43.9287092115286)
building_1163240,POINT(7.355552900664387 43.835408316467586)
building_1163396,POINT(7.286241751450566 43.83691904661443)
building_1163897,POINT(7.004144574655514 43.87381684947892)
building_1164335,POINT(7.355565794660047 43.835454683630424)
building_1164691,POINT(7.175837303059692 43.77997449986103)
building_1165400,POINT(7.355532153709834 43.835491102159516)
building_1166847,POINT(7.189202003058127 43.81981599986579)
building_1168479,POINT(6.760323903180681 43.86827819988307)
building_1168579,POINT(7.355416231227062 43.83562835523934)
building_1168951,POINT(7.229415503049169 43.860753099869996)
building_1169588,POINT(7.3862938030034 43.817388499860535)
building_1169641,POINT(6.952241503106607 43.50008759982985)
building_1171680,POINT(7.199246280014952 43.82830595683805)
building_1172082,POINT(7.189364913287862 43.81972302132796)
building_1174969,POINT(7.355247681136164 43.83578615642604)
building_1175423,POINT(7.295938003025747 43.76784199985643)
building_1175988,POINT(7.199422369304716 43.82862664995267)
building_1178113,POINT(6.877009003152622 43.95374099989082)
building_1178152,POINT(6.915632205632766 43.85708562193773)
building_1181266,POINT(7.355170632630808 43.83584076381756)
building_1182811,POINT(7.298073336248489 43.86804804159336)
building_1183354,POINT(7.008156057402934 43.94901022778838)
building_1183415,POINT(7.157710067611703 43.81003194414857)
building_1238761,POINT(6.795729203184723 44.120307899913776)
building_1238897,POINT(6.933603984585097 43.60438974262299)
building_1239135,POINT(6.939967703109373 43.488265899828605)
building_1239154,POINT(7.198896454888478 43.82811625882295)
building_1240863,POINT(6.857800382988854 43.64429036996589)
building_1241056,POINT(6.751492503182964 43.864710699882856)
building_1241159,POINT(7.275249533000559 43.79300769453214)
building_1241365,POINT(7.398960302996941 43.761523299853074)
building_1246915,POINT(7.35625680724373 43.83437564559576)
building_1247518,POINT(7.382059003002462 43.777639999855566)
building_1248802,POINT(7.35616510301263 43.834325999863445)
building_1249524,POINT(6.937719103109843 43.48549899982828)
building_1250017,POINT(7.339620003013138 43.75795599985412)
building_1250536,POINT(7.16554181831001 43.81199184911676)
building_1252491,POINT(7.356080380390232 43.8344210436434)
building_66408,POINT(7.305517003036033 44.01018299988681)
building_189024,POINT(7.004813354141037 44.0638782688913)
building_518221,POINT(7.137462003082423 44.002969999890205)
building_520975,POINT(6.936787703111819 43.51666479983248)
building_525338,POINT(6.937266675776524 43.516444358779054)
building_525365,POINT(7.137256003082369 44.000833999889956)
building_525464,POINT(6.727454108873646 43.7779311536514)
building_528106,POINT(6.874360506179714 43.65610862195351)
