building_id,id,geom
548247,building_548247,POINT(-0.094947194625946 44.465732300220665)
1184535,building_1184535,POINT(-0.066147994633926 44.49070400022254)
1301623,building_1301623,POINT(-0.07265250258565 44.499275702219556)
2420861,building_2420861,POINT(-0.031327211678934 44.49830187486228)
3709407,building_3709407,POINT(-0.06539215809245 44.45084937303876)
3878147,building_3878147,POINT(-0.038551719645861 44.46359200021751)
4320281,building_4320281,POINT(-0.098005868303113 44.47609609964464)
7024516,building_7024516,POINT(-0.072697494633087 44.47343960022058)
7055476,building_7055476,POINT(-0.074186194632526 44.47391160022072)
7055566,building_7055566,POINT(-0.074875712088237 44.47391612291957)
7062094,building_7062094,POINT(-0.075583694632062 44.47361950022074)
7100687,building_7100687,POINT(-0.072535694633111 44.47382590022062)
23299001,building_23299001,POINT(-0.077202694631399 44.474754800220985)
27286755,building_27286755,POINT(-0.053422928143404 44.5050988597008)
28551284,building_28551284,POINT(-0.077275994631398 44.47445600022096)
28551285,building_28551285,POINT(-0.077097194631471 44.47433120022092)
28551286,building_28551286,POINT(-0.077605094631248 44.47487630022101)
56374005,building_56374005,POINT(-0.075468569065049 44.473808315246494)
78401295,building_78401295,POINT(-0.074102494631979 44.480751000221616)
78401302,building_78401302,POINT(-0.044070994642763 44.47747600021968)
78401323,building_78401323,POINT(-0.053551594639913 44.4719441002194)
78401330,building_78401330,POINT(-0.049450994637375 44.51916200022546)
1003033,building_1003033,POINT(-0.084841836111237 44.48306062816548)
1705421,building_1705421,POINT(-0.053135883286183 44.51140823342501)
1794157,building_1794157,POINT(-0.052834571291071 44.51239626896907)
1794365,building_1794365,POINT(-0.052745994636683 44.513678700224894)
2089635,building_2089635,POINT(-0.050525763374327 44.50518971519146)
3108287,building_3108287,POINT(-0.050073575561652 44.510937681804116)
3113094,building_3113094,POINT(-0.053451174688938 44.47494663183111)
4436879,building_4436879,POINT(-0.098463947694116 44.48195805712356)
7196707,building_7196707,POINT(-0.072324294633188 44.47378580022061)
24739273,building_24739273,POINT(-0.055121294636506 44.505903300224)
24739274,building_24739274,POINT(-0.053955426143168 44.50699597507096)
24739275,building_24739275,POINT(-0.053260895860528 44.50827560025343)
26057962,building_26057962,POINT(-0.075498198647918 44.50275474284789)
26058027,building_26058027,POINT(-0.064376794636053 44.47280350022005)
47793103,building_47793103,POINT(-0.055227403586574 44.511945154436866)
50820776,building_50820776,POINT(-0.050516742564988 44.51405399735599)
51481158,building_51481158,POINT(-0.05405832437733 44.50445203304837)
52257628,building_52257628,POINT(-0.054971199525366 44.505363058888804)
56959680,building_56959680,POINT(-0.108178131672145 44.479770808670345)
57446948,building_57446948,POINT(-0.051050554875619 44.51308016652163)
1234321,building_1234321,POINT(-0.070804994633214 44.47978900022133)
1754548,building_1754548,POINT(-0.053425006369685 44.51347172258319)
1756851,building_1756851,POINT(-0.055102904955343 44.51274064739954)
1757371,building_1757371,POINT(-0.054590269584123 44.51363844685316)
1757630,building_1757630,POINT(-0.053191294636586 44.512989400224825)
1772867,building_1772867,POINT(-0.053657409168434 44.51261206015037)
3432184,building_3432184,POINT(-0.066601166541657 44.47314080245485)
3451024,building_3451024,POINT(-0.065881379897855 44.47177424682964)
4498955,building_4498955,POINT(-0.095630694625392 44.46944980022121)
7025923,building_7025923,POINT(-0.072983894632985 44.473445400220605)
7028688,building_7028688,POINT(-0.073294694632877 44.473450700220596)
7034309,building_7034309,POINT(-0.0737005946327 44.473871200220664)
7065885,building_7065885,POINT(-0.075852640345653 44.47347562262498)
7068521,building_7068521,POINT(-0.075037694632135 44.4750065002209)
7110904,building_7110904,POINT(-0.072099385755732 44.47450746092209)
16001688,building_16001688,POINT(-0.04677629464293 44.46425750021803)
19306937,building_19306937,POINT(-0.06475724340664 44.48487000858779)
19306983,building_19306983,POINT(-0.05398013646685 44.511914332878014)
19306988,building_19306988,POINT(-0.054577482053096 44.51131094233395)
19306991,building_19306991,POINT(-0.055942394635753 44.51143360022475)
19307094,building_19307094,POINT(-0.051757034483702 44.51079119061269)
19307375,building_19307375,POINT(-0.052697583179444 44.5038148388291)
22957600,building_22957600,POINT(-0.029716994645934 44.499476000221854)
25447158,building_25447158,POINT(-0.070697551146481 44.447863283340006)
29149431,building_29149431,POINT(-0.052601120824368 44.51211398798738)
49347921,building_49347921,POINT(-0.075026506920792 44.47258944328579)
49623743,building_49623743,POINT(-0.052458126937966 44.50646874613786)
49930044,building_49930044,POINT(-0.075009194632235 44.473952600220755)
51035437,building_51035437,POINT(-0.091201866073263 44.493103746317814)
54376587,building_54376587,POINT(-0.062331289634945 44.49447356522285)
