building_id,id,geom
7928273,building_7928273,POINT(-0.118033994606817 44.59650700023913)
8068731,building_8068731,POINT(-0.115707578196521 44.59801283391703)
8507949,building_8507949,POINT(-0.112853314442008 44.5846161885511)
8225631,building_8225631,POINT(-0.118545994606761 44.59503200023895)
8513684,building_8513684,POINT(-0.113948028939606 44.585348844845704)
8169444,building_8169444,POINT(-0.116625394608247 44.58542800023761)
8539088,building_8539088,POINT(-0.110740502278164 44.58628484849497)
8540867,building_8540867,POINT(-0.110341294610086 44.58977670023787)
28781079,building_28781079,POINT(-0.10205106582691 44.591284689965484)
49350030,building_49350030,POINT(-0.10776519241547 44.58901119977655)
56963904,building_56963904,POINT(-0.10384699461252 44.5879270002373)
