building_id,id,geom
7076258,building_7076258,POINT(-0.534914862740446 44.93331858931338)
7187867,building_7187867,POINT(-0.523129394435464 44.923862100302316)
7191503,building_7191503,POINT(-0.518556409636352 44.923957495671765)
8427742,building_8427742,POINT(-0.506757157304307 44.953100826050964)
8876197,building_8876197,POINT(-0.489582494445518 44.946118000303265)
9094266,building_9094266,POINT(-0.49489600189317 44.933831459402256)
9135452,building_9135452,POINT(-0.50010499444219 44.94117700030323)
9136747,building_9136747,POINT(-0.507742994440053 44.93434600030279)
9140346,building_9140346,POINT(-0.502197186519152 44.93538162745111)
9144346,building_9144346,POINT(-0.505237209916483 44.93571764864388)
9261699,building_9261699,POINT(-0.493400348077693 44.934194929877094)
9398716,building_9398716,POINT(-0.490363845876716 44.93639232023676)
9492251,building_9492251,POINT(-0.488127893010273 44.947838674014825)
9537371,building_9537371,POINT(-0.485004194447504 44.942031700302515)
9571889,building_9571889,POINT(-0.486202815388444 44.941190815149476)
9579564,building_9579564,POINT(-0.491702634992317 44.941016512380216)
9668079,building_9668079,POINT(-0.482557763548794 44.94091600000574)
10120137,building_10120137,POINT(-0.47656089445167 44.928597700300415)
10314830,building_10314830,POINT(-0.482644794449745 44.925751400300385)
10315793,building_10315793,POINT(-0.481948994449944 44.926331800300396)
10469766,building_10469766,POINT(-0.466876994455695 44.92195130029905)
10471461,building_10471461,POINT(-0.469755852686014 44.923062550870114)
10506594,building_10506594,POINT(-0.477043294451843 44.92459040029992)
10508856,building_10508856,POINT(-0.476717894451943 44.92478250029994)
10512847,building_10512847,POINT(-0.48032430265478 44.91990665187945)
10516623,building_10516623,POINT(-0.481338894450689 44.9201996002996)
10615643,building_10615643,POINT(-0.486625363527741 44.92124086720122)
10648662,building_10648662,POINT(-0.486315956404574 44.92426185181466)
10650239,building_10650239,POINT(-0.4891621944474 44.92600880030077)
10651498,building_10651498,POINT(-0.485632294448838 44.92392380030031)
10686817,building_10686817,POINT(-0.487644449431583 44.91815602466271)
10725321,building_10725321,POINT(-0.494016561041714 44.927675146458554)
10747492,building_10747492,POINT(-0.485007184738246 44.927129430573395)
10751265,building_10751265,POINT(-0.487425994447865 44.92780960030088)
10754579,building_10754579,POINT(-0.487905205160643 44.92518778738353)
10785833,building_10785833,POINT(-0.483132094449359 44.92823450030073)
10877850,building_10877850,POINT(-0.504340804495522 44.9326514326857)
10877890,building_10877890,POINT(-0.504505201502097 44.932706332015165)
10878057,building_10878057,POINT(-0.502694787024751 44.93211986488541)
10878923,building_10878923,POINT(-0.502161706619593 44.928129895944366)
10917720,building_10917720,POINT(-0.506488233775812 44.932732549035684)
10944077,building_10944077,POINT(-0.5114592588609 44.928391986375374)
10944630,building_10944630,POINT(-0.509655194439852 44.928758400302215)
11043349,building_11043349,POINT(-0.50593443802045 44.917327667834456)
11045499,building_11045499,POINT(-0.503403800454647 44.91936957905869)
11101573,building_11101573,POINT(-0.51180659443926 44.92670640030206)
11148886,building_11148886,POINT(-0.513549276842232 44.93510112975004)
11149852,building_11149852,POINT(-0.513437824608072 44.93513778925165)
11171108,building_11171108,POINT(-0.528122994432067 44.94258000030494)
11198779,building_11198779,POINT(-0.522302994433991 44.944365000304835)
11202792,building_11202792,POINT(-0.511450994437855 44.94449750030425)
11231448,building_11231448,POINT(-0.497888794444414 44.924529500301055)
11237395,building_11237395,POINT(-0.496253225010648 44.928029941429436)
16360201,building_16360201,POINT(-0.482696957608457 44.91605996872021)
21299104,building_21299104,POINT(-0.481710894450808 44.917277400299284)
23858168,building_23858168,POINT(-0.475827981610829 44.92412822135071)
25447222,building_25447222,POINT(-0.493520049597364 44.946054160773066)
25447233,building_25447233,POINT(-0.499203234585079 44.934244577610755)
25447249,building_25447249,POINT(-0.478036315018139 44.932377891572024)
25447262,building_25447262,POINT(-0.480902794450336 44.92611790030035)
25447263,building_25447263,POINT(-0.465506744858332 44.927321231043315)
25447264,building_25447264,POINT(-0.467494994455188 44.925279000299525)
25447270,building_25447270,POINT(-0.485800302772944 44.923936755352464)
25447271,building_25447271,POINT(-0.484807321714295 44.92040041316314)
25447373,building_25447373,POINT(-0.486251794448581 44.924345000300406)
25447377,building_25447377,POINT(-0.485413571871049 44.92595153476105)
25447379,building_25447379,POINT(-0.485169828324312 44.92657540748862)
25447381,building_25447381,POINT(-0.484830994448918 44.92630980030056)
25447396,building_25447396,POINT(-0.489863294446918 44.928704700301125)
25447406,building_25447406,POINT(-0.506718494440891 44.92885760030208)
25447418,building_25447418,POINT(-0.510376694438569 44.94065440030372)
26058033,building_26058033,POINT(-0.51374799443577 44.9591490003062)
26058035,building_26058035,POINT(-0.488772194445197 44.95321230030412)
26058037,building_26058037,POINT(-0.503932738244144 44.94274967485065)
26058040,building_26058040,POINT(-0.499439121097013 44.9495362112436)
26058057,building_26058057,POINT(-0.481225294448902 44.94144680030225)
26058077,building_26058077,POINT(-0.47375116695876 44.93070276545397)
26058102,building_26058102,POINT(-0.481952094450099 44.924531500300176)
26058103,building_26058103,POINT(-0.483614294449781 44.9213330002999)
26058117,building_26058117,POINT(-0.484754403963969 44.92086188848392)
26058121,building_26058121,POINT(-0.483923056308705 44.920621149085505)
26058134,building_26058134,POINT(-0.487705611850796 44.92480598305503)
26058136,building_26058136,POINT(-0.485191494448724 44.92708260030069)
26058149,building_26058149,POINT(-0.494342953064039 44.93105590243148)
26058177,building_26058177,POINT(-0.503892150837127 44.91968817624976)
26058178,building_26058178,POINT(-0.504370080904353 44.919814607828975)
26058179,building_26058179,POINT(-0.503233635133689 44.91991367161312)
28174183,building_28174183,POINT(-0.472909494452925 44.92914400030027)
8660862,building_8660862,POINT(-0.48714142020769 44.952134253656716)
8705598,building_8705598,POINT(-0.486998504261218 44.9513547149002)
8845667,building_8845667,POINT(-0.488125994445677 44.950322000303736)
8890560,building_8890560,POINT(-0.490803894445328 44.94328190030301)
8981308,building_8981308,POINT(-0.504545440056392 44.94226268411394)
9068942,building_9068942,POINT(-0.500844694442241 44.93752750030284)
9145961,building_9145961,POINT(-0.50664487431082 44.93599868009813)
9147333,building_9147333,POINT(-0.498225994443363 44.935356700302414)
9151019,building_9151019,POINT(-0.50405179444112 44.93724030030297)
9367144,building_9367144,POINT(-0.49339898814642 44.936720585537735)
9500681,building_9500681,POINT(-0.486467994446732 44.944923000303)
9555042,building_9555042,POINT(-0.472907694452106 44.938670000301485)
9597208,building_9597208,POINT(-0.488729513912326 44.944814452521705)
9598336,building_9598336,POINT(-0.486262394447148 44.94096280030248)
9598832,building_9598832,POINT(-0.471797294452366 44.94025910030161)
9640842,building_9640842,POINT(-0.481184994449273 44.93731300030173)
9671266,building_9671266,POINT(-0.477868286069566 44.93901402939372)
9798453,building_9798453,POINT(-0.48081499444952 44.93596100030151)
9805742,building_9805742,POINT(-0.481037062409926 44.93495105212234)
10097369,building_10097369,POINT(-0.471764794453238 44.93024210030035)
10179156,building_10179156,POINT(-0.46893199445447 44.92767800029988)
10260388,building_10260388,POINT(-0.479086294450665 44.929829900300696)
10325622,building_10325622,POINT(-0.482209278766682 44.92597784026034)
10375824,building_10375824,POINT(-0.475835094452071 44.926961000300146)
10446644,building_10446644,POINT(-0.470775994454023 44.92522200029966)
10447743,building_10447743,POINT(-0.466287696071193 44.924676959333)
10448552,building_10448552,POINT(-0.470289170924692 44.926301015005656)
10490304,building_10490304,POINT(-0.475992997570741 44.92291800033034)
10556650,building_10556650,POINT(-0.481063794911331 44.917933939053704)
10626541,building_10626541,POINT(-0.485358194448954 44.92372160030027)
10630572,building_10630572,POINT(-0.482092794450136 44.92350950030007)
10730553,building_10730553,POINT(-0.490876867099591 44.92582448993618)
10731107,building_10731107,POINT(-0.489798579148828 44.92648928855714)
10758787,building_10758787,POINT(-0.48851109444769 44.92533380030064)
10759816,building_10759816,POINT(-0.487282084236645 44.92474637703139)
10759859,building_10759859,POINT(-0.488284094447749 44.92559720030066)
10760210,building_10760210,POINT(-0.486491594448486 44.92445840030047)
10761522,building_10761522,POINT(-0.489098605980934 44.92612227069173)
10762480,building_10762480,POINT(-0.48792320467768 44.925411106525644)
10794362,building_10794362,POINT(-0.485539949769455 44.930627653219)
10796968,building_10796968,POINT(-0.486881263038477 44.930342710918794)
10797621,building_10797621,POINT(-0.486913995546249 44.93044960884444)
10827920,building_10827920,POINT(-0.490881294446478 44.929601600301275)
10830101,building_10830101,POINT(-0.490243994446875 44.927631300301016)
10831033,building_10831033,POINT(-0.492037953291446 44.927868239040755)
10924586,building_10924586,POINT(-0.508026094440396 44.92919630030218)
10926613,building_10926613,POINT(-0.511074894438984 44.93295780030282)
10926710,building_10926710,POINT(-0.511074994439016 44.93257390030277)
10926815,building_10926815,POINT(-0.510601094439211 44.93229420030273)
10928940,building_10928940,POINT(-0.50868137540258 44.92938681138561)
11025019,building_11025019,POINT(-0.499737594443738 44.924721900301165)
11050699,building_11050699,POINT(-0.504423358601518 44.92102160492435)
11054763,building_11054763,POINT(-0.504121498620416 44.921930744471204)
11054890,building_11054890,POINT(-0.504313718710632 44.921522832264465)
11056194,building_11056194,POINT(-0.504073294442594 44.92005220030082)
11195747,building_11195747,POINT(-0.520550994434086 44.95053100030551)
11216810,building_11216810,POINT(-0.508301394438296 44.952413300305075)
