building_id,id,geom
7454491,building_7454491,POINT(-0.155743694596482 44.562088100236544)
7459032,building_7459032,POINT(-0.155007994596716 44.56236700023655)
7503954,building_7503954,POINT(-0.152561994597589 44.56220100023643)
7504863,building_7504863,POINT(-0.152864247412019 44.561657980634735)
7580846,building_7580846,POINT(-0.153047963943986 44.56158900486108)
7630637,building_7630637,POINT(-0.155891764396263 44.56147865718351)
7713910,building_7713910,POINT(-0.153199012264388 44.56339434954045)
12266538,building_12266538,POINT(-0.147668294599308 44.56221470023617)
12437128,building_12437128,POINT(-0.140352994601939 44.56147600023569)
12438174,building_12438174,POINT(-0.141375192466513 44.56091141682216)
12441055,building_12441055,POINT(-0.142646994601184 44.56087900023572)
13245330,building_13245330,POINT(-0.133164294605882 44.5446861002331)
24743300,building_24743300,POINT(-0.148969994598994 44.56051500023601)
54746828,building_54746828,POINT(-0.150162494598463 44.56183680023622)
7709152,building_7709152,POINT(-0.155850444971033 44.56211175636316)
12883682,building_12883682,POINT(-0.150424794598677 44.5582273002358)
28543961,building_28543961,POINT(-0.156084894596419 44.561403400236486)
28781148,building_28781148,POINT(-0.145160712376258 44.55728389416058)
45452992,building_45452992,POINT(-0.156065336811337 44.56186491553004)
45452996,building_45452996,POINT(-0.152234994598082 44.55773830023578)
45778407,building_45778407,POINT(-0.112805314612647 44.54917076023265)
50500887,building_50500887,POINT(-0.14804309459968 44.55624710023536)
50974013,building_50974013,POINT(-0.155507994596586 44.56182100023649)
52200956,building_52200956,POINT(-0.151241994598411 44.55796300023576)
7510953,building_7510953,POINT(-0.151693923347085 44.56140044901563)
7690098,building_7690098,POINT(-0.152804234944326 44.5621696562422)
12948687,building_12948687,POINT(-0.155019219597387 44.5543858502355)
12958788,building_12958788,POINT(-0.153624994597573 44.55797800023589)
12960541,building_12960541,POINT(-0.153646994597544 44.55823200023592)
12961278,building_12961278,POINT(-0.158318368182283 44.560630263911584)
12962689,building_12962689,POINT(-0.146294027458308 44.558295257283554)
12963464,building_12963464,POINT(-0.157837994595891 44.56036300023644)
12964048,building_12964048,POINT(-0.158342994595728 44.560201000236454)
12964121,building_12964121,POINT(-0.157358994596058 44.56037900023643)
12964304,building_12964304,POINT(-0.147866294599707 44.55665970023546)
12964363,building_12964363,POINT(-0.148366094599524 44.55676030023549)
12964834,building_12964834,POINT(-0.149735594599068 44.55646470023551)
12964897,building_12964897,POINT(-0.149125694599321 44.5559949002354)
22410765,building_22410765,POINT(-0.156014894596438 44.56146960023649)
23302830,building_23302830,POINT(-0.154282151345807 44.56177778010668)
23302832,building_23302832,POINT(-0.157763994595932 44.560180000236414)
25827117,building_25827117,POINT(-0.156511594596223 44.56195780023655)
27291466,building_27291466,POINT(-0.115973294611316 44.551771400233164)
27291476,building_27291476,POINT(-0.101793640773867 44.55059964128736)
27291482,building_27291482,POINT(-0.103359248278903 44.55402495094367)
27291488,building_27291488,POINT(-0.107710083045524 44.55131453476451)
27291505,building_27291505,POINT(-0.106052109313126 44.54407847693002)
27291541,building_27291541,POINT(-0.115808994611476 44.55057100023299)
27291543,building_27291543,POINT(-0.114676394611807 44.551344100233024)
27291566,building_27291566,POINT(-0.115288994611752 44.54944900023282)
27291578,building_27291578,POINT(-0.111289994612173 44.56108800023413)
27291586,building_27291586,POINT(-0.114085294611141 44.56169650023437)
47802210,building_47802210,POINT(-0.14820437050176 44.560483862964915)
47802214,building_47802214,POINT(-0.131731294605509 44.555047000234396)
47802215,building_47802215,POINT(-0.120181994610086 44.54885900023299)
49935301,building_49935301,POINT(-0.155151205325828 44.560785727657304)
51485946,building_51485946,POINT(-0.152469794597795 44.56015300023613)
51485958,building_51485958,POINT(-0.115268994611672 44.550483000232944)
51485963,building_51485963,POINT(-0.109644263880711 44.546604795900784)
53300854,building_53300854,POINT(-0.151220994597794 44.565356000236754)
54380272,building_54380272,POINT(-0.156040393370792 44.55605431159147)
57709287,building_57709287,POINT(-0.152052994597981 44.559675000236034)
