id,geom
building_500743,POINT(1.733537567435592 42.82224581601166)
building_500984,POINT(1.798450004603609 42.808110999891156)
building_500995,POINT(1.41567032144756 42.74626343427298)
building_500998,POINT(1.580828968813859 43.01260373858098)
building_501318,POINT(1.753502104630285 42.96560879991809)
building_501337,POINT(1.805847304583395 42.577055299853086)
building_501398,POINT(1.909152223662086 42.9553025244711)
building_501679,POINT(1.613856004667904 42.86643899990776)
building_501683,POINT(1.757122193082162 42.76357863884886)
building_501714,POINT(0.993396204885464 43.03946449996081)
building_502474,POINT(1.667908685895239 42.80051594051997)
building_502907,POINT(1.794395756920359 42.816244781837085)
building_503265,POINT(1.874737422774462 42.9857804817347)
building_503302,POINT(1.564302004691239 42.95905199992455)
building_503401,POINT(1.895784249690464 42.759444576708816)
building_503453,POINT(1.703395737968184 42.81476748656261)
building_503977,POINT(1.198409614425503 42.83196473703616)
building_505340,POINT(0.888489390626185 42.934313599948304)
building_506203,POINT(1.591216310386766 42.83072990276003)
building_507501,POINT(1.735845623512802 43.080573852767046)
building_510813,POINT(2.102360906365686 42.72909758121011)
building_512666,POINT(1.441115004742784 43.103510999952334)
building_513850,POINT(1.794466464615246 42.94247075991282)
building_515943,POINT(1.322966604783601 43.12913689996123)
building_598201,POINT(1.7577713184066 42.76606335850663)
building_599408,POINT(1.149909004827255 42.95995099994155)
building_602098,POINT(1.595513351830128 43.184917715721625)
building_604859,POINT(1.862651754578791 42.75447952488004)
building_605349,POINT(1.608135729276407 43.07843391715475)
building_614639,POINT(1.681428004639661 42.78507519989198)
building_615953,POINT(1.674406004641359 42.77764899989104)
building_621648,POINT(1.512008804732547 43.2698413999752)
building_625303,POINT(1.618805633125225 42.93174382993011)
building_625778,POINT(1.20673318123106 42.870469412382704)
building_632081,POINT(1.501104329725538 43.13421594995472)
building_634209,POINT(1.647991004651649 42.7998818998957)
building_634603,POINT(1.877470731153343 42.98305306643323)
building_703034,POINT(0.996162004883928 43.03175999995947)
building_703451,POINT(1.464850154734746 43.100177685665116)
building_705038,POINT(1.934197004583056 43.11129399993384)
building_707058,POINT(1.568088189280217 43.099797613446945)
building_713790,POINT(1.638046928646126 43.06974892676032)
building_714676,POINT(1.646309972598921 42.80043187945604)
building_721398,POINT(1.054020275821134 42.89022315799875)
building_722984,POINT(1.281100004786797 42.99510599994175)
building_727181,POINT(1.808899804621654 43.08652759993494)
building_728997,POINT(1.673402604641428 42.774353899890556)
building_729230,POINT(1.620847814194288 42.928776028488905)
building_731227,POINT(1.736002004644687 43.078778699936585)
building_731305,POINT(1.055350886671194 42.89098242720705)
building_732843,POINT(1.840485633542507 42.71903444666109)
building_802909,POINT(1.591542704671045 42.81367279990014)
building_805168,POINT(1.67511095819563 42.774177089865894)
building_809651,POINT(1.83909010701929 42.71939880612391)
building_810299,POINT(1.473248447691155 43.00584156202927)
building_811077,POINT(1.953721725567987 43.07745915032987)
building_812241,POINT(1.6894820046372 42.786958999891965)
building_816158,POINT(1.499541975574015 43.188573388664786)
building_817782,POINT(1.67457200464105 42.7743609998905)
building_820109,POINT(1.79383385553076 42.57839376966507)
building_886638,POINT(1.030718981786522 42.91935903840146)
building_887126,POINT(1.849919004612364 43.13849299994135)
building_889374,POINT(1.931744108924185 43.013186065136026)
building_889401,POINT(1.83885771441418 42.71971894815494)
building_890818,POINT(0.984349004880296 42.93767199994484)
building_893531,POINT(1.590269697605721 42.812793004625625)
building_893861,POINT(1.670536904655296 42.941156299917495)
building_896888,POINT(1.85764972817039 43.13930519364533)
building_901342,POINT(1.248780536240463 43.17893106159775)
building_902928,POINT(1.838528304583906 42.720040199875356)
building_904289,POINT(1.838418249845772 42.720062218061656)
building_904869,POINT(1.423809046401938 43.15915425598675)
building_905604,POINT(1.838330989596243 42.72003485453304)
building_908087,POINT(1.10621670484711 43.02780529995422)
building_912233,POINT(1.838190881777323 42.719961730223844)
building_968539,POINT(1.034016004862473 42.92086709994007)
building_969731,POINT(1.766599704635149 43.08376799993618)
building_969903,POINT(1.9454202545767 43.07541016242785)
building_970711,POINT(2.016710004527314 42.728012999869904)
building_973311,POINT(1.837939780783474 42.7191984251336)
building_974955,POINT(1.251883801620528 42.90541722973959)
building_978064,POINT(1.207346404801604 42.87563969992558)
building_978273,POINT(1.938879355785475 42.90890878952475)
building_979013,POINT(1.63890137608536 42.82807910704345)
building_979252,POINT(1.879788665459736 42.97475602600158)
building_980501,POINT(1.837834719910719 42.71948300881883)
building_982262,POINT(1.675821776069543 42.778551235605455)
building_982888,POINT(1.837599604584146 42.71928219987526)
building_984828,POINT(1.311406004791561 43.18183699996991)
building_985264,POINT(1.678158989499257 42.787351037425765)
building_985275,POINT(1.130936404835302 42.98226399994589)
building_985433,POINT(1.944367304576961 43.0743702999277)
building_985817,POINT(1.397422004748505 42.993912999936825)
building_988837,POINT(1.909212215599528 42.917138513236644)
building_988841,POINT(1.766175051657912 43.08384652099468)
building_990005,POINT(1.032991590706673 42.92091514894201)
building_990046,POINT(1.643352735436725 42.984581584540834)
building_990403,POINT(1.694010604663157 43.14130549994799)
building_993683,POINT(1.086773404856628 43.06636029996114)
building_994893,POINT(1.551801983967559 42.95753971109609)
building_1052628,POINT(1.128708004838413 43.01204099995072)
building_1054097,POINT(1.807003004597803 42.76858918083681)
building_1054462,POINT(1.917659964289012 43.124572578087516)
building_1055032,POINT(1.870120404593286 42.97472099991497)
building_1055042,POINT(1.129634482918532 43.01161758064454)
building_1055138,POINT(1.129737702752496 42.980591279789444)
building_1056181,POINT(1.570342004700577 43.104267999947204)
building_1056284,POINT(1.037620579862107 42.931210699941566)
building_1056734,POINT(1.133792004836249 43.00599599994957)
building_1057474,POINT(1.301766952635253 43.03940314862287)
building_1057486,POINT(1.249066795718095 42.905535068342175)
building_1059338,POINT(1.042549721925945 42.896257885264944)
building_1062107,POINT(1.688506004647905 42.92102399991354)
building_1063275,POINT(1.661100285242995 42.77828399800339)
building_1063306,POINT(1.274838004788952 42.9963059999422)
building_1064383,POINT(1.837284404584354 42.720667199875486)
building_1064901,POINT(1.634707469663522 42.8972255899119)
building_1065678,POINT(1.949369733960854 42.73053139399052)
