id,geom
building_26916,POINT(6.297814003339226 44.34649269995515)
building_273065,POINT(5.960535545098189 44.2619125166214)
building_273700,POINT(6.289218003316723 43.91367399990168)
building_500512,POINT(6.801860127012358 44.47761478090883)
building_500597,POINT(5.730053403470418 43.79485839990223)
building_501863,POINT(5.814218324880882 43.89912309991339)
building_501908,POINT(6.640989480632345 44.43317144630373)
building_502628,POINT(5.907766449285982 43.99710185041809)
building_502741,POINT(6.320014069530192 44.23580423836704)
building_502912,POINT(5.592267203515967 43.88692119991834)
building_502940,POINT(6.505696399767189 44.235958866958235)
building_503469,POINT(5.780761303474618 44.11012949994124)
building_503653,POINT(6.560732328258235 44.243977924935336)
building_503846,POINT(6.042403003408339 44.27026899995336)
building_507267,POINT(5.894609617723291 44.04208269278646)
building_513849,POINT(6.699576418196258 43.95767156044936)
building_516238,POINT(6.741419403219013 44.46016969995606)
building_600600,POINT(5.538958668917438 44.11847136666351)
building_602534,POINT(5.786438003460534 43.90217999991459)
building_603154,POINT(5.634673412592283 43.8495602726395)
building_604610,POINT(5.873687003428727 43.7915029998976)
building_617554,POINT(6.358006734843231 44.23602461715424)
building_622331,POINT(6.055719703387962 43.98853629991785)
building_627685,POINT(5.831206758999628 43.937022833081144)
building_703999,POINT(6.643215197165534 44.39756598837554)
building_706897,POINT(5.877798110545419 44.18500210653345)
building_711002,POINT(6.912114215995418 43.9188606686266)
building_712722,POINT(5.680720703493701 43.944039599923116)
building_718883,POINT(5.690186781934629 44.091765304720546)
building_719685,POINT(6.350370003328085 44.41496799996181)
building_722495,POINT(6.73777500321805 44.42434699995197)
building_725885,POINT(5.787124093125046 44.061691427521176)
building_731872,POINT(5.691001003490184 43.93522699992167)
building_797318,POINT(6.070781160719254 44.29513919491604)
building_805418,POINT(6.749276757204986 44.46204384713489)
building_806690,POINT(5.8291269044263 43.786970233442226)
building_807782,POINT(5.944644003426466 44.098610999934955)
building_808022,POINT(5.82779900344164 43.78604699989824)
building_809269,POINT(5.87027627843804 43.93154401241591)
building_810601,POINT(5.569046003532971 44.055575999940714)
building_812524,POINT(6.145703719602926 44.0967133771813)
building_812714,POINT(5.781796403474379 44.11113159994138)
building_813752,POINT(6.57046079057297 44.28567258342682)
building_821304,POINT(5.637813003506201 43.94446579992446)
building_821793,POINT(6.272693003341946 44.26866599994646)
building_887086,POINT(5.902213003425294 43.87212899990734)
building_887106,POINT(5.652223003496181 43.84796099991149)
building_889281,POINT(5.975702003407968 43.937162999913575)
building_894920,POINT(6.920986003138286 43.917426999885095)
building_904152,POINT(6.365737003297116 43.95197899990446)
building_971315,POINT(5.784072003460944 43.89765299991405)
building_975659,POINT(6.266489433345598 44.04576338189876)
building_976217,POINT(6.265481187844752 44.265029037500454)
building_977526,POINT(6.557515003235733 43.829905999883565)
