building_id,id,geom
2915543,building_2915543,POINT(-0.623460717326956 45.2545237283019)
4152489,building_4152489,POINT(-0.617895394373939 45.242603700346265)
4154722,building_4154722,POINT(-0.617409288570728 45.24341138478223)
4154812,building_4154812,POINT(-0.617447147101321 45.24364468438742)
4155156,building_4155156,POINT(-0.616022756182437 45.244676560594584)
4159622,building_4159622,POINT(-0.58658588107851 45.238092932501026)
4160296,building_4160296,POINT(-0.581023472669 45.24325219006806)
4301196,building_4301196,POINT(-0.627262055872198 45.244012485799296)
4314921,building_4314921,POINT(-0.623912918412012 45.244685053129864)
4468104,building_4468104,POINT(-0.62822146401797 45.243281181035485)
4492793,building_4492793,POINT(-0.630725140245191 45.24409072012067)
12106528,building_12106528,POINT(-0.687595525593721 45.255154450758845)
12570992,building_12570992,POINT(-0.675654181246804 45.274630999069124)
19680509,building_19680509,POINT(-0.622017778356841 45.24795070421871)
19680511,building_19680511,POINT(-0.62238504722805 45.24790615153344)
19680526,building_19680526,POINT(-0.624054994370688 45.25452500034801)
24742355,building_24742355,POINT(-0.609473994376418 45.24892900034654)
24742359,building_24742359,POINT(-0.626550194370616 45.24504270034704)
29803304,building_29803304,POINT(-0.625303173073615 45.24608935516398)
29803305,building_29803305,POINT(-0.625567211160532 45.246166416295104)
29803306,building_29803306,POINT(-0.625469813961638 45.24676809281677)
29803307,building_29803307,POINT(-0.625252336634315 45.24595152935869)
29803308,building_29803308,POINT(-0.624203394371297 45.24691160034712)
29803309,building_29803309,POINT(-0.624995722711612 45.24601815521934)
50664165,building_50664165,POINT(-0.60073699438053 45.23769000034474)
1196121,building_1196121,POINT(-0.622106722506421 45.25905386021448)
1343181,building_1343181,POINT(-0.621704705916845 45.260295912901135)
4134292,building_4134292,POINT(-0.605002694379262 45.234663500344645)
4252310,building_4252310,POINT(-0.628917555720152 45.24933647523936)
4261657,building_4261657,POINT(-0.626158429664627 45.24789222387676)
4757394,building_4757394,POINT(-0.624610569371101 45.24748610034726)
4757739,building_4757739,POINT(-0.630314486015477 45.245909899473695)
