id,geom
building_7725,POINT(6.066465503524029 46.34727570016527)
building_8173,POINT(5.345510519884619 46.33144928703346)
building_8277,POINT(5.740057753612704 46.20218359183059)
building_8610,POINT(5.294735823297562 45.969674763202086)
building_9179,POINT(5.941356303557096 46.27733017516359)
building_9762,POINT(5.12099970379599 46.14224760018019)
building_557485,POINT(5.158442703780456 46.077179000173075)
building_559226,POINT(5.11089530378748 45.96012770016418)
building_559358,POINT(5.881472338521908 46.17611593735471)
building_560597,POINT(6.092007853517361 46.362754525165734)
building_567336,POINT(5.598746003655572 46.20939800016934)
building_567560,POINT(4.976466903845764 46.230013600193075)
building_569602,POINT(5.054204620426798 46.059080307374415)
building_569783,POINT(4.841147450469001 46.3051411500639)
building_570528,POINT(5.619912003614735 45.64738890011727)
building_570684,POINT(5.882536065283268 46.10972357202619)
building_571994,POINT(4.840842479806332 46.30512917342745)
building_572093,POINT(5.447621017973623 45.99697338587011)
building_574213,POINT(4.840758967355533 46.30531943762946)
building_575476,POINT(4.970572003833013 46.003656000173166)
building_576521,POINT(5.089944003807933 46.18106700018471)
building_578642,POINT(5.037338003809709 45.95771500016659)
building_578646,POINT(4.980394601123581 45.95291168578766)
building_579321,POINT(5.937566324616777 46.306999530406806)
building_580834,POINT(4.840385871278114 46.30523331166997)
building_581391,POINT(5.659632003622063 45.961372000145396)
building_582405,POINT(5.170657383041402 46.04717251973807)
building_582575,POINT(5.17885000376366 45.90975000015715)
building_582936,POINT(4.839818013327041 46.305258540667154)
building_583046,POINT(5.651837003604827 45.64096350011557)
building_584529,POINT(5.730051122562154 46.18709085384719)
building_584989,POINT(5.100200903790174 45.95135290016377)
building_587235,POINT(5.14831190354448 45.81830637301584)
building_587269,POINT(5.620068453614639 45.64654473583148)
building_591519,POINT(5.216484848242438 46.14570797588672)
building_593623,POINT(5.366678489239796 46.218090402371494)
building_594713,POINT(5.075975903796972 45.94236480016384)
building_595509,POINT(5.109940403815935 46.40173670020281)
building_671691,POINT(5.078356440918724 46.11719678114956)
building_673042,POINT(5.982308003544113 46.26445700016114)
building_673985,POINT(5.655270903616528 45.84951690013524)
building_674200,POINT(4.996094003849683 46.384216000205434)
building_674720,POINT(5.485471477784605 46.11575716922984)
building_676473,POINT(5.188024441257419 45.854930475151725)
building_679225,POINT(5.112787403814996 46.4006658002026)
building_679707,POINT(5.725301003602047 45.95504200014262)
building_682584,POINT(5.113847681307186 45.848922963938584)
building_683428,POINT(5.09883850379152 45.96600140016515)
building_684302,POINT(5.642311503608541 45.65531810011732)
building_685120,POINT(4.914241003855938 46.09215700018318)
building_686215,POINT(5.113652885430917 45.84125132954786)
building_686963,POINT(5.170225150513764 46.07033903619173)
building_687513,POINT(5.617835248087983 46.10723361127093)
building_696095,POINT(4.997587003818254 45.90190100016286)
building_696278,POINT(4.840404957857675 46.30599514838034)
building_696770,POINT(5.186690003769476 46.03935590016869)
building_700033,POINT(4.955843003835684 45.97516000017111)
building_700465,POINT(5.100692203822548 46.46077270020798)
building_701510,POINT(5.111622303786807 45.952995000163526)
building_766261,POINT(5.087394203823994 46.41986550020509)
building_766482,POINT(5.627254003612168 45.64118300011645)
building_767737,POINT(5.290618003748059 46.19968100017923)
building_769303,POINT(5.241883903768051 46.281838600187974)
building_769790,POINT(5.059184103801873 45.939111800164106)
building_770547,POINT(4.950689816438429 46.12043848124765)
building_771440,POINT(5.030799003821156 46.10552800018018)
building_771796,POINT(4.913629703875272 46.38820170020881)
building_771984,POINT(5.607366003653296 46.2145830001695)
building_775083,POINT(5.110174519541051 46.40127233303735)
building_775148,POINT(5.553427921318264 46.24160958840896)
building_775239,POINT(5.577533403659494 46.169601500166614)
